codigo,descripcion_original,tipo_producto,subtipo,material_principal,color,volumen_ml,tam_boca_mm,tipo_cierre,uso_categoria,familia_material,notas
5007,TAPA DISPENSADORA BLANCO B28MM,tapa,,PP,BLANCO,,,,general,POLIPROPILENO,
5013,FRASCO PARA RIMEL 5ML(9CM X 1CM) CON TAPA,frasco,rimel,,,5.0,,,cosmetica,,
5014,POTE CREMERO SIMPLE 30GR CON TAPA Y LAINA,cremero,,,,,,,cosmetica,,
5015,POTE PLASTICO 1KG B110 BLANCO C/TAPA,pote,,PEAD,BLANCO,,110,,general,POLIETILENO,
5017,POTE CREMERO SIMPLE 60GR CON TAPA Y LAINA,cremero,,,,,,,cosmetica,,
5018,FRASCO BULLET 30ML CON TAPA ATOMIZADOR,frasco,bullet,,,30.0,,,cosmetica,,
5019,FRASCO BULLET 60ML CON TAPA ATOMIZADOR,frasco,bullet,,,60.0,,,cosmetica,,
5021,FRASCO PET TRANSPARENTE ESPUMERO 100ML CON TAPA,frasco,espumero,PET,TRANSPARENTE,100.0,,ESPUMERO,cosmetica,POLIETILENO TEREFTALATO,
5022,FRASCO PET TRANSPARENTE ESPUMERO 150ML CON TAPA,frasco,espumero,PET,TRANSPARENTE,150.0,,ESPUMERO,cosmetica,POLIETILENO TEREFTALATO,
5023,FRASCO PET TRANSPARENTE 30ML C/TAPA FLIT TOP N18,frasco,,PET,TRANSPARENTE,30.0,18,FLIP-TOP,general,POLIETILENO TEREFTALATO,
5024,FRASCO PET BLANCO ESPUMERO 150ML CON TAPA,frasco,espumero,PET,BLANCO,150.0,,ESPUMERO,cosmetica,POLIETILENO TEREFTALATO,
5025,PASTILLERO PLASTICO BLANCO 40GR CON TAPA,accesorio,pastillero,,BLANCO,,,,general,,
5026,PASTILLERO PLASTICO BLANCO 60GR CON TAPA,accesorio,pastillero,,BLANCO,,,,general,,
5027,PASTILLERO PLASTICO BLANCO 90GR CON TAPA,accesorio,pastillero,,BLANCO,,,,general,,
5028,PASTILLERO PLASTICO BLANCO 120GR CON TAPA,accesorio,pastillero,,BLANCO,,,,general,,
5029,PASTILLERO PLASTICO NEGRO 40GR CON TAPA,accesorio,pastillero,,NEGRO,,,,general,,
5030,PASTILLERO PLASTICO NEGRO 60GR CON TAPA,accesorio,pastillero,,NEGRO,,,,general,,
