node_id,node_type,label
PRODUCT:SKU-001,PRODUCT,Taladro Bosch 500 Watts
CLIENT:CONSTRUCTORA NORTE,CLIENT,Constructora Norte
DATE:2024-01-10,DATE,2024-01-10
DOCS:CONSTRUCTORA NORTE|2024-01-10,DOC,CONSTRUCTORA NORTE 2024-01-10
PRODUCT:SKU-002,PRODUCT,Cemento Portland 25KG
CLIENT:MAESTRO PEREZ,CLIENT,Maestro Perez
DATE:2024-01-12,DATE,2024-01-12
DOCS:MAESTRO PEREZ|2024-01-12,DOC,MAESTRO PEREZ 2024-01-12
PRODUCT:SKU-004,PRODUCT,Pintura latex blanca galon
CLIENT:SERVICIOS LIMA,CLIENT,Servicios Lima
DATE:2024-01-15,DATE,2024-01-15
DOCS:SERVICIOS LIMA|2024-01-15,DOC,SERVICIOS LIMA 2024-01-15
PRODUCT:SKU-003,PRODUCT,Martillo fibra 16 oz
CLIENT:FERRETERIA SOL,CLIENT,Ferreteria Sol
DATE:2024-01-18,DATE,2024-01-18
DOCS:FERRETERIA SOL|2024-01-18,DOC,FERRETERIA SOL 2024-01-18
PRODUCT:SKU-999,PRODUCT,Flete reparto local
DATE:2024-01-20,DATE,2024-01-20
DOCS:CONSTRUCTORA NORTE|2024-01-20,DOC,CONSTRUCTORA NORTE 2024-01-20
