product_id,product_name,product_type_predicted,product_type_expected,product_type_match,subtype_predicted,subtype_expected,subtype_match,material_predicted,material_expected,material_match,color_predicted,color_expected,color_match,capacity_value_predicted,capacity_value_expected,capacity_value_match,mouth_size_mm_predicted,mouth_size_mm_expected,mouth_size_mm_match,use_category_predicted,use_category_expected,use_category_match,material_family_predicted,material_family_expected,material_family_match
5007,TAPA DISPENSADORA BLANCO B28MM,tapa,tapa,True,dispensador,,,,PP,,BLANCO,BLANCO,True,,,,28.0,,,general,general,True,,POLIPROPILENO,
5013,FRASCO PARA RIMEL 5ML(9CM X 1CM) CON TAPA,frasco,frasco,True,rimel,rimel,True,,,,,,,5.0,5.0,True,,,,cosmetica,cosmetica,True,,,
5014,POTE CREMERO SIMPLE 30GR CON TAPA Y LAINA,cremero,cremero,True,cremero,,,,,,,,,30.0,,,,,,cosmetica,cosmetica,True,,,
5015,POTE PLASTICO 1KG B110 BLANCO C/TAPA,pote,pote,True,,,,PLASTICO,PEAD,False,BLANCO,BLANCO,True,1.0,,,110.0,110.0,True,empaque_envase,general,False,PLASTICO,POLIETILENO,False
5017,POTE CREMERO SIMPLE 60GR CON TAPA Y LAINA,cremero,cremero,True,cremero,,,,,,,,,60.0,,,,,,cosmetica,cosmetica,True,,,
5018,FRASCO BULLET 30ML CON TAPA ATOMIZADOR,frasco,frasco,True,atomizador,bullet,False,,,,,,,30.0,30.0,True,,,,cosmetica,cosmetica,True,,,
5019,FRASCO BULLET 60ML CON TAPA ATOMIZADOR,frasco,frasco,True,atomizador,bullet,False,,,,,,,60.0,60.0,True,,,,cosmetica,cosmetica,True,,,
5021,FRASCO PET TRANSPARENTE ESPUMERO 100ML CON TAPA,frasco,frasco,True,espumero,espumero,True,PET,PET,True,TRANSPARENTE,TRANSPARENTE,True,100.0,100.0,True,,,,empaque_envase,cosmetica,False,POLIETILENO TEREFTALATO,POLIETILENO TEREFTALATO,True
5022,FRASCO PET TRANSPARENTE ESPUMERO 150ML CON TAPA,frasco,frasco,True,espumero,espumero,True,PET,PET,True,TRANSPARENTE,TRANSPARENTE,True,150.0,150.0,True,,,,empaque_envase,cosmetica,False,POLIETILENO TEREFTALATO,POLIETILENO TEREFTALATO,True
5023,FRASCO PET TRANSPARENTE 30ML C/TAPA FLIT TOP N18,frasco,frasco,True,,,,PET,PET,True,TRANSPARENTE,TRANSPARENTE,True,30.0,30.0,True,18.0,18.0,True,empaque_envase,general,False,POLIETILENO TEREFTALATO,POLIETILENO TEREFTALATO,True
5024,FRASCO PET BLANCO ESPUMERO 150ML CON TAPA,frasco,frasco,True,espumero,espumero,True,PET,PET,True,BLANCO,BLANCO,True,150.0,150.0,True,,,,empaque_envase,cosmetica,False,POLIETILENO TEREFTALATO,POLIETILENO TEREFTALATO,True
5025,PASTILLERO PLASTICO BLANCO 40GR CON TAPA,accesorio,accesorio,True,,pastillero,,PLASTICO,,,BLANCO,BLANCO,True,40.0,,,,,,general,general,True,PLASTICO,,
5026,PASTILLERO PLASTICO BLANCO 60GR CON TAPA,accesorio,accesorio,True,,pastillero,,PLASTICO,,,BLANCO,BLANCO,True,60.0,,,,,,general,general,True,PLASTICO,,
5027,PASTILLERO PLASTICO BLANCO 90GR CON TAPA,accesorio,accesorio,True,,pastillero,,PLASTICO,,,BLANCO,BLANCO,True,90.0,,,,,,general,general,True,PLASTICO,,
5028,PASTILLERO PLASTICO BLANCO 120GR CON TAPA,accesorio,accesorio,True,,pastillero,,PLASTICO,,,BLANCO,BLANCO,True,120.0,,,,,,general,general,True,PLASTICO,,
5029,PASTILLERO PLASTICO NEGRO 40GR CON TAPA,accesorio,accesorio,True,,pastillero,,PLASTICO,,,NEGRO,NEGRO,True,40.0,,,,,,general,general,True,PLASTICO,,
5030,PASTILLERO PLASTICO NEGRO 60GR CON TAPA,accesorio,accesorio,True,,pastillero,,PLASTICO,,,NEGRO,NEGRO,True,60.0,,,,,,general,general,True,PLASTICO,,
5031,PASTILLERO PLASTICO NEGRO 90GR CON TAPA,accesorio,accesorio,True,,pastillero,,PLASTICO,,,NEGRO,NEGRO,True,90.0,,,,,,general,general,True,PLASTICO,,
5032,PASTILLERO PLASTICO NEGRO 120GR CON TAPA,accesorio,accesorio,True,,pastillero,,PLASTICO,,,NEGRO,NEGRO,True,120.0,,,,,,general,general,True,PLASTICO,,
5033,FRASCO PLASTICO NATURAL 30ML CON TAPON Y TAPA N28,frasco,frasco,True,,,,PLASTICO,PEAD,False,NATURAL,NATURAL,True,30.0,30.0,True,28.0,28.0,True,empaque_envase,general,False,PLASTICO,POLIETILENO,False
5034,FRASCO PLASTICO NATURAL 120ML CON TAPON Y TAPA B/28,frasco,frasco,True,,,,PLASTICO,PEAD,False,NATURAL,NATURAL,True,120.0,120.0,True,28.0,28.0,True,empaque_envase,general,False,PLASTICO,POLIETILENO,False
5035,FRASCO PLASTICO NATURAL 250ML CON TAPON Y TAPA B28MM,frasco,frasco,True,,,,PLASTICO,PEAD,False,NATURAL,NATURAL,True,250.0,250.0,True,28.0,,,empaque_envase,general,False,PLASTICO,POLIETILENO,False
5036,FRASCO PLASTICO NATURAL 500ML CON TAPON Y TAPA B28MM,frasco,frasco,True,,,,PLASTICO,PEAD,False,NATURAL,NATURAL,True,500.0,500.0,True,28.0,,,empaque_envase,general,False,PLASTICO,POLIETILENO,False
5037,FRASCO PLASTICO NATURAL 1LT CON TAPA Y TAPON N28,frasco,frasco,True,,,,PLASTICO,PEAD,False,NATURAL,NATURAL,True,1.0,1000.0,False,28.0,28.0,True,empaque_envase,general,False,PLASTICO,POLIETILENO,False
5038,FRASCO PLASTICO AMBAR 60ML CON TAPA Y TAPON N28,frasco,frasco,True,,,,PLASTICO,,,AMBAR,AMBAR,True,60.0,60.0,True,28.0,28.0,True,empaque_envase,general,False,PLASTICO,,
5039,FRASCO PLASTICO AMBAR 120ML CON TAPA Y TAPON N28,frasco,frasco,True,,,,PLASTICO,,,AMBAR,AMBAR,True,120.0,120.0,True,28.0,28.0,True,empaque_envase,general,False,PLASTICO,,
5040,FRASCO PLASTICO AMBAR 250ML CON TAPA Y TAPON N28,frasco,frasco,True,,,,PLASTICO,,,AMBAR,AMBAR,True,250.0,250.0,True,28.0,28.0,True,empaque_envase,general,False,PLASTICO,,
5041,FRASCO PLASTICO AMBAR 500ML CON TAPA Y TAPON N28,frasco,frasco,True,,,,PLASTICO,,,AMBAR,AMBAR,True,500.0,500.0,True,28.0,28.0,True,empaque_envase,general,False,PLASTICO,,
5042,FRASCO PLASTICO AMBAR 1LT CON TAPA Y TAPON N28,frasco,frasco,True,,,,PLASTICO,,,AMBAR,AMBAR,True,1.0,1000.0,False,28.0,28.0,True,empaque_envase,general,False,PLASTICO,,
5043,FRASCO PLASTICO BLANCO 30ML CON TAPA Y TAPON N28,frasco,frasco,True,,,,PLASTICO,PEAD,False,BLANCO,BLANCO,True,30.0,30.0,True,28.0,28.0,True,empaque_envase,general,False,PLASTICO,POLIETILENO,False
5044,FRASCO PLASTICO BLANCO 60ML CON TAPA Y TAPON N28,frasco,frasco,True,,,,PLASTICO,PEAD,False,BLANCO,BLANCO,True,60.0,60.0,True,28.0,28.0,True,empaque_envase,general,False,PLASTICO,POLIETILENO,False
5045,FRASCO PLASTICO BLANCO 120ML CON TAPA Y TAPON N28,frasco,frasco,True,,,,PLASTICO,PEAD,False,BLANCO,BLANCO,True,120.0,120.0,True,28.0,28.0,True,empaque_envase,general,False,PLASTICO,POLIETILENO,False
5046,FRASCO PLASTICO BLANCO 250ML CON TAPA Y TAPON N28,frasco,frasco,True,,,,PLASTICO,PEAD,False,BLANCO,BLANCO,True,250.0,250.0,True,28.0,28.0,True,empaque_envase,general,False,PLASTICO,POLIETILENO,False
