product_id,product_name,product_type,subtype,material,color,accessory,shape,feature,capacity_value,capacity_unit,mouth_size_mm,use_category,confidence,needs_review_reason,sales_rows,purchases_rows
5206,LATA DE ALUMINIO PLATEADA 50GR C/TAPA,tapa,,ALUMINIO,,tapa,,,50.0,GR,,general,0.854,tapa_con_capacidad;,18.0,8.0
5228,VIAL VIDRIO TRANSPARENTE 7ML B20 C/TAPA BUTILO COLOR GRIS,tapa,vial,VIDRIO,GRIS,tapa,,,7.0,ML,20.0,general,0.8762,tapa_con_capacidad;,7.0,3.0
5239,VIAL VIDRIO TRANSPARENTE 10ML B20 C/TAPA BUTILO,tapa,vial,VIDRIO,TRANSPARENTE,tapa,,,10.0,ML,20.0,general,0.8762,tapa_con_capacidad;,13.0,11.0
5452,GALONERA NATURAL 4L C/TAPA Y TAPON,tapa,,,NATURAL,tapa,,,4.0,L,,general,0.854,tapa_con_capacidad;,17.0,1.0
5205,LATA DE ALUMINIO PLATEADO 15GR C/TAPA,tapa,,ALUMINIO,PLATEADO,tapa,,,15.0,GR,,general,0.8683,tapa_con_capacidad;,13.0,4.0
5207,LATA DE ALUMINIO PLATEADA 30GR C/TAPA,tapa,,ALUMINIO,,tapa,,,30.0,GR,,general,0.854,tapa_con_capacidad;,12.0,3.0
5428,PET TRANSPARENTE 100ML TAPA DISPENSADOR B20,tapa,dispensador,PET,TRANSPARENTE,tapa,,,100.0,ML,20.0,general,0.885,tapa_con_capacidad;,14.0,0.0
5244,VIAL VIDRIO TRANSPARENTE 5ML B20 C/TAPA BUTILO GRIS,tapa,vial,VIDRIO,GRIS,tapa,,,5.0,ML,20.0,general,0.8762,tapa_con_capacidad;,7.0,2.0
5068,CRIOVIAL C/TAPA ROSCA NO ESTERIL 2ML TAPA BLANCA (BOLSA*500UND),tapa,rosca,,,tapa,,no_esteril,2.0,ML,,empaque_envase,0.8883,tapa_con_capacidad;,8.0,4.0
5530,GALONERA PLASTICO NATURAL 1L B36 C/TAPA Y TAPON,tapa,,PLASTICO,NATURAL,tapa,,,1.0,L,36.0,general,0.8757,tapa_con_capacidad;,6.0,0.0
5098,PROBADOR PLASTICO NATURAL FORMA BAJA 5ML CON TAPA ESPRAY,tapa,,PLASTICO,NATURAL,tapa,,,5.0,ML,,general,0.8683,tapa_con_capacidad;,9.0,2.0
5414,PET JABONERA 37GR 400ML C/TAPA DISPENSADOR B28,tapa,dispensador,PET,,tapa,,,37.0,GR,28.0,general,0.8771,tapa_con_capacidad;,8.0,1.0
5221,LATA DE ALUMINIO PLATEADA 100GR C/TAPA,tapa,,ALUMINIO,,tapa,,,100.0,GR,,general,0.854,tapa_con_capacidad;,8.0,3.0
