product_id,product_name,attribute,baseline_value,llm_value,change_type
3,BOLSA 16*19 C/ASA *100UND,accessory,,asa,filled_by_llm
8,BOLSA 16*19 C/ASA*100UND,accessory,,asa,filled_by_llm
5008,FRASCO VIDRIO AMBAR IMPORTADO 125ML TAPA ESPRAY BAJA,accessory,tapa,tapa|atomizador_espray,changed_by_llm
5016,FRASCO VIDRIO AMBAR HOMBRO CAIDO 250ML TAPA ESPRAY PISTOLA,accessory,tapa,tapa|atomizador_espray|dispensador_pistola,changed_by_llm
5063,FRASCO VIDRIO AMBAR HOMBRO CAIDO 125ML TAPA ESPRAY PISTOLA negro,accessory,tapa,tapa|atomizador_espray|dispensador_pistola,changed_by_llm
5083,VASO PRECIPITADO DE VIDRIO 1L (BEAKER),subtype,,vaso_precipitado,filled_by_llm
5084,VASO PRECIPITADO DE VIDRIO 500 ML (BEAKER),subtype,,vaso_precipitado,filled_by_llm
5085,VASO PRECIPITADO DE VIDRIO 250 ML (BEAKER) G-,subtype,,vaso_precipitado,filled_by_llm
5086,VASO PRECIPITADO DE VIDRIO FORMA ALTA 250 ML (BEAKER),subtype,,vaso_precipitado,filled_by_llm
5087,VASO PRECIPITADO DE VIDRIO 100 ML (BEAKER),subtype,,vaso_precipitado,filled_by_llm
5088,VASO PRECIPITADO DE VIDRIO 50ML (BEAKER),subtype,,vaso_precipitado,filled_by_llm
5096,PLACA PETRI DE PLASTICO 90*15,subtype,,placa_petri,filled_by_llm
5098,PROBADOR PLASTICO NATURAL FORMA BAJA 5ML CON TAPA ESPRAY,accessory,tapa,tapa|atomizador_espray,changed_by_llm
5099,PROBADOR PLASTICO 5ML ESPRAY COLORES,accessory,,atomizador_espray,filled_by_llm
5100,PINZA PARA TUBO DE ENSAYO DE METAL 11.5CM,subtype,,tubo_de_ensayo,filled_by_llm
5103,TUBO DE ENSAYO DE VIDRIO 12*75MM (PAQ 250UND),subtype,,tubo_de_ensayo,filled_by_llm
5105,MATRAZ ERLENMEYER DE VIDRIO 250ML,subtype,,matraz_erlenmeyer,filled_by_llm
5106,MATRAZ ERLENMEYER DE VIDRIO 500ML,subtype,,matraz_erlenmeyer,filled_by_llm
5109,PINZA DE MADERA PARA TUBO DE ENSAYO,subtype,,tubo_de_ensayo,filled_by_llm
5113,TERMOMETRO  DIGITAL DE VASTAGO PARA COCINA DE 15CM,feature,,digital,filled_by_llm
5119,FRASCO PET CAMPANA TRANSPARENTE 500ML B/28 TAPA ESPRAY PISTOLA..,accessory,tapa,tapa|atomizador_espray|dispensador_pistola,changed_by_llm
5125,FRASCO PET TRANSPARENTE 120ML CON TAPA ESPRAY N28,accessory,tapa,tapa|atomizador_espray,changed_by_llm
5131,CEPILLO DE LIMPIEZA PARA TUBO DE ENSAYO  13*100MM,subtype,,tubo_de_ensayo,filled_by_llm
5134,POTE CREMERO VIDRIO TRANSPARENTE 50GR C/TAPA METALIZADA Y LAINA,feature,,metalizado,filled_by_llm
5136,FRASCO MINI PARA AROMATIZADOR VIDRIO 6ML C/TAPA,feature,,mini,filled_by_llm
5140,ASA DE SIEMBRA 1 UL/INOCULADOR AZUL (BOLSA 10 UND),accessory,,asa,filled_by_llm
5181,POTE CREMERO DOBLE FONDO C/ CINTILLO PLATEADO 50GR C/TAPA Y LAINA,feature,,doble,filled_by_llm
5182,STAPA ESPRAY PLASTICO BLANCO N28 C/SOBRE TAPA ALTA,accessory,tapa,tapa|atomizador_espray,changed_by_llm
5200,FRASCO PET BOLON 400ML TRANSPARENTE C/TAPA ESPRAY PISTOLA N28,accessory,tapa,tapa|atomizador_espray|dispensador_pistola,changed_by_llm
5225,PLACA PETRI VIDRIO 90*15,subtype,,placa_petri,filled_by_llm
5229,BOMBA ATOMIZADORA ACANALADO 20 410 BLANCO,feature,,acanalado,filled_by_llm
5230,BOMBA ATOMIZADORA ACANALADO N28 410 FUCSIA,feature,,acanalado,filled_by_llm
5231,BOMBA ATOMIZADORA ACANALADO 20 410 TRANSPARENTE,feature,,acanalado,filled_by_llm
5232,BOMBA ATOMIZADORA ACANALADO 20/410 NEGRO,feature,,acanalado,filled_by_llm
5233,BOMBA ATOMIZADORA ACANALADO 20/410 CELESTE,feature,,acanalado,filled_by_llm
5234,BOMBA ATOMIZADORA ACANALADO N20 410 FUCSIA,feature,,acanalado,filled_by_llm
5235,BOMBA ATOMIZADORA ACANALADO N28 410 BLANCO,feature,,acanalado,filled_by_llm
5236,BOMBA ATOMIZADORA ACANALADO N28 410 TRANSPARENTE,feature,,acanalado,filled_by_llm
5237,BOMBA ATOMIZADORA ACANALADO N28 410 NEGRO,feature,,acanalado,filled_by_llm
5238,BOMBA ATOMIZADORA ACANALADO N28 410 CELESTE,feature,,acanalado,filled_by_llm
5249,SOLO MINI TRIGGER NEGRO B28,feature,,mini,filled_by_llm
5253,FRASCO PET 1LT TRANSPARENTE C/SPRAY PISTOLA N28,accessory,,dispensador_pistola,filled_by_llm
5259,FRASCO DE VIDRIO BOCA ANCHA TAPA AZUL 1L NIU S/20.0,feature,,boca,filled_by_llm
5264,FRASCO DE  VIDRIO BOCA ANCHA TAPA AZUL 500ML,feature,,boca,filled_by_llm
5266,ABRAZADERA CRUZADA DE LABORATORIO (DOBLE NUEZ),feature,,doble,filled_by_llm
5269,TERMOMETRO DIGITAL DE VASTAGO PARA COCINA DE 30CM,feature,,digital,filled_by_llm
5272,PROBADOR PLASTICO 10ML ESPRAY COLORES,accessory,,atomizador_espray,filled_by_llm
5275,SOLO TAPA PRESS N28.,feature,,solo,filled_by_llm
5277,POTE CREMERO DOBLE FONDO 60GR BLANCO C/TAPA Y LAINA NACIONAL,feature,,doble,filled_by_llm
