product_id,product_name,product_type,subtype,material,color,capacity_value,capacity_unit,mouth_size_mm,size_text,closure_type,accessory,shape,feature,brand,use_category,material_family,keywords,confidence,attribute_confidence,extraction_method,rules_version,attribute_evidence
0,LAPTOP MAMEL,equipo,,,,,,,,,,,,,general,,"[""LAPTOP"", ""MAMEL""]",0.72,"{""product_type"": 0.84, ""use_category"": 0.6}",deterministic_rules,2026-06-11,"{""product_type"": ""MAQUINA,EQUIPO,LAPTOP,IMPRESORA"", ""subtype"": """", ""accessory"": """", ""shape"": """", ""feature"": """", ""material"": """", ""color"": """", ""capacity"": """", ""mouth_size"": """", ""size_text"": """", ""use_category"": ""default"", ""brand"": """"}"
1,utiles de oficina,,,,,,,,,,,,,,general,,"[""UTILES"", ""OFICINA""]",0.6,"{""use_category"": 0.6}",deterministic_rules,2026-06-11,"{""product_type"": """", ""subtype"": """", ""accessory"": """", ""shape"": """", ""feature"": """", ""material"": """", ""color"": """", ""capacity"": """", ""mouth_size"": """", ""size_text"": """", ""use_category"": ""default"", ""brand"": """"}"
2,ORTOPEDIA,,,,,,,,,,,,,,medico_laboratorio,,"[""ORTOPEDIA""]",0.84,"{""use_category"": 0.84}",deterministic_rules,2026-06-11,"{""product_type"": """", ""subtype"": """", ""accessory"": """", ""shape"": """", ""feature"": """", ""material"": """", ""color"": """", ""capacity"": """", ""mouth_size"": """", ""size_text"": """", ""use_category"": ""ODONTO,MEDIC,CLINIC,ORTOPEDIA,PH,CLORO"", ""brand"": """"}"
3,BOLSA 16*19 C/ASA *100UND,bolsa,,,,,,,,,asa,,,,empaque_envase,,"[""BOLSA"", ""16"", ""19"", ""ASA"", ""100UND""]",0.86,"{""product_type"": 0.91, ""accessory"": 0.85, ""use_category"": 0.82}",deterministic_rules,2026-06-11,"{""product_type"": ""BOLSA,BOLSAS,ZIPLOC"", ""subtype"": """", ""accessory"": ""ASA"", ""shape"": """", ""feature"": """", ""material"": """", ""color"": """", ""capacity"": """", ""mouth_size"": """", ""size_text"": """", ""use_category"": ""BOLSA,CAJA,ENVASE,FRASCO,POTE"", ""brand"": """"}"
4,BOLSA 12*16 BCO ALFA *100UND,bolsa,,,,,,,,,,,,,empaque_envase,,"[""BOLSA"", ""12"", ""16"", ""BCO"", ""ALFA"", ""100UND""]",0.865,"{""product_type"": 0.91, ""use_category"": 0.82}",deterministic_rules,2026-06-11,"{""product_type"": ""BOLSA,BOLSAS,ZIPLOC"", ""subtype"": """", ""accessory"": """", ""shape"": """", ""feature"": """", ""material"": """", ""color"": """", ""capacity"": """", ""mouth_size"": """", ""size_text"": """", ""use_category"": ""BOLSA,CAJA,ENVASE,FRASCO,POTE"", ""brand"": """"}"
5,ARTICULOS DE FERRETERIA,,,,,,,,,,,,,,general,,"[""ARTICULOS"", ""FERRETERIA""]",0.6,"{""use_category"": 0.6}",deterministic_rules,2026-06-11,"{""product_type"": """", ""subtype"": """", ""accessory"": """", ""shape"": """", ""feature"": """", ""material"": """", ""color"": """", ""capacity"": """", ""mouth_size"": """", ""size_text"": """", ""use_category"": ""default"", ""brand"": """"}"
6,MATERIAL MEDICO,,,,,,,,,,,,,,general,,"[""MATERIAL"", ""MEDICO""]",0.6,"{""use_category"": 0.6}",deterministic_rules,2026-06-11,"{""product_type"": """", ""subtype"": """", ""accessory"": """", ""shape"": """", ""feature"": """", ""material"": """", ""color"": """", ""capacity"": """", ""mouth_size"": """", ""size_text"": """", ""use_category"": ""default"", ""brand"": """"}"
7,"GASTOS ADMINISTRITIVOS, MENAJES Y ONOMASTICOS",,,,,,,,,,,,,,general,,"[""GASTOS"", ""ADMINISTRITIVOS"", ""MENAJES"", ""ONOMASTICOS""]",0.6,"{""use_category"": 0.6}",deterministic_rules,2026-06-11,"{""product_type"": """", ""subtype"": """", ""accessory"": """", ""shape"": """", ""feature"": """", ""material"": """", ""color"": """", ""capacity"": """", ""mouth_size"": """", ""size_text"": """", ""use_category"": ""default"", ""brand"": """"}"
8,BOLSA 16*19 C/ASA*100UND,bolsa,,,,,,,,,asa,,,,empaque_envase,,"[""BOLSA"", ""16"", ""19"", ""ASA"", ""100UND""]",0.86,"{""product_type"": 0.91, ""accessory"": 0.85, ""use_category"": 0.82}",deterministic_rules,2026-06-11,"{""product_type"": ""BOLSA,BOLSAS,ZIPLOC"", ""subtype"": """", ""accessory"": ""ASA"", ""shape"": """", ""feature"": """", ""material"": """", ""color"": """", ""capacity"": """", ""mouth_size"": """", ""size_text"": """", ""use_category"": ""BOLSA,CAJA,ENVASE,FRASCO,POTE"", ""brand"": """"}"
9,BOLSA 21*24,bolsa,,,,,,,,,,,,,empaque_envase,,"[""BOLSA"", ""21"", ""24""]",0.865,"{""product_type"": 0.91, ""use_category"": 0.82}",deterministic_rules,2026-06-11,"{""product_type"": ""BOLSA,BOLSAS,ZIPLOC"", ""subtype"": """", ""accessory"": """", ""shape"": """", ""feature"": """", ""material"": """", ""color"": """", ""capacity"": """", ""mouth_size"": """", ""size_text"": """", ""use_category"": ""BOLSA,CAJA,ENVASE,FRASCO,POTE"", ""brand"": """"}"
10,EQUIPOS DE SEGURIDAD,,,,,,,,,,,,,,general,,"[""EQUIPOS"", ""SEGURIDAD""]",0.6,"{""use_category"": 0.6}",deterministic_rules,2026-06-11,"{""product_type"": """", ""subtype"": """", ""accessory"": """", ""shape"": """", ""feature"": """", ""material"": """", ""color"": """", ""capacity"": """", ""mouth_size"": """", ""size_text"": """", ""use_category"": ""default"", ""brand"": """"}"
