product_id,product_name,query,query_tokens,matched_tokens,unmatched_tokens,matched_attributes_json,retrievability_score,top1_found,top5_found,top10_found,best_match_product_id,best_match_product_name,best_match_score
0,LAPTOP MAMEL,LAPTOP MAMEL,LAPTOP|MAMEL,,LAPTOP|MAMEL,{},0.0,True,True,True,0,LAPTOP MAMEL,2.761
1,utiles de oficina,utiles de oficina,UTILES|OFICINA,,UTILES|OFICINA,{},0.0,True,True,True,1,utiles de oficina,2.7569
2,ORTOPEDIA,ORTOPEDIA,ORTOPEDIA,,ORTOPEDIA,{},0.0,True,True,True,2,ORTOPEDIA,2.7639
3,BOLSA 16*19 C/ASA *100UND,BOLSA 16*19 C/ASA *100UND,BOLSA|16|19|ASA|100UND,BOLSA|ASA,16|19|100UND,"{""product_type"": [""BOLSA""], ""accessory"": [""ASA""]}",0.4,True,True,True,3,BOLSA 16*19 C/ASA *100UND,3.2079
4,BOLSA 12*16 BCO ALFA *100UND,BOLSA 12*16 BCO ALFA *100UND,BOLSA|12|16|BCO|ALFA|100UND,BOLSA,12|16|BCO|ALFA|100UND,"{""product_type"": [""BOLSA""]}",0.1667,True,True,True,4,BOLSA 12*16 BCO ALFA *100UND,2.9494
5,ARTICULOS DE FERRETERIA,ARTICULOS DE FERRETERIA,ARTICULOS|FERRETERIA,,ARTICULOS|FERRETERIA,{},0.0,True,True,True,5,ARTICULOS DE FERRETERIA,2.7569
6,MATERIAL MEDICO,MATERIAL MEDICO,MATERIAL|MEDICO,,MATERIAL|MEDICO,{},0.0,True,True,True,6,MATERIAL MEDICO,2.7569
7,"GASTOS ADMINISTRITIVOS, MENAJES Y ONOMASTICOS","GASTOS ADMINISTRITIVOS, MENAJES Y ONOMASTICOS",GASTOS|ADMINISTRITIVOS|MENAJES|ONOMASTICOS,,GASTOS|ADMINISTRITIVOS|MENAJES|ONOMASTICOS,{},0.0,True,True,True,7,"GASTOS ADMINISTRITIVOS, MENAJES Y ONOMASTICOS",2.7569
8,BOLSA 16*19 C/ASA*100UND,BOLSA 16*19 C/ASA*100UND,BOLSA|16|19|ASA|100UND,BOLSA|ASA,16|19|100UND,"{""product_type"": [""BOLSA""], ""accessory"": [""ASA""]}",0.4,False,True,True,3,BOLSA 16*19 C/ASA *100UND,3.2079
9,BOLSA 21*24,BOLSA 21*24,BOLSA|21|24,BOLSA,21|24,"{""product_type"": [""BOLSA""]}",0.3333,True,True,True,9,BOLSA 21*24,3.1328
10,EQUIPOS DE SEGURIDAD,EQUIPOS DE SEGURIDAD,EQUIPOS|SEGURIDAD,,EQUIPOS|SEGURIDAD,{},0.0,True,True,True,10,EQUIPOS DE SEGURIDAD,2.7569
5000,FRASCO GOTERO VIDRIO AMBAR 5ML CON TAPA Y CHUPON,FRASCO GOTERO VIDRIO AMBAR 5ML CON TAPA Y CHUPON,FRASCO|GOTERO|VIDRIO|AMBAR|5ML|TAPA|CHUPON,GOTERO|VIDRIO|AMBAR|5ML|TAPA|CHUPON,FRASCO,"{""product_type"": [""GOTERO""], ""subtype"": [""CHUPON""], ""accessory"": [""CHUPON"", ""TAPA""], ""material"": [""VIDRIO""], ""color"": [""AMBAR""], ""capacity_text"": [""5ML""], ""material_family"": [""VIDRIO""]}",0.8571,True,True,True,5000,FRASCO GOTERO VIDRIO AMBAR 5ML CON TAPA Y CHUPON,3.7159
