date,product_id,product_name,supplier,quantity,unit_cost_net,unit_cost_gross,subtotal_net,tax_amount,total_gross,is_cancelled,is_adjustment,is_active,analysis_unit_cost,analysis_total,product_name_norm,supplier_norm,source_dataset
2025-03-10,5051-ANULADO-3740978,Ajustes de stockTAPA DE PLÁSTICO ROSCA,VARIOS,10,0.0847457627,0.1,0.8474576271,0.1525423729,1.0,True,True,False,0.1,1.0,AJUSTES DE STOCKTAPA DE PLASTICO ROSCA,VARIOS,purchases
2025-03-11,5041,FRASCO PLASTICO AMBAR 500ML CON TAPA Y TAPON N28,ENVIPLAST E.I.R.L.,25,0.7203389,0.849999902,18.0084725,3.24152505,21.25,False,False,True,0.849999902,21.25,FRASCO PLASTICO AMBAR 500ML CON TAPA Y TAPON N28,ENVIPLAST E I R L,purchases
2025-03-12,5002,FRASCO GOTERO VIDRIO AMBAR 15ML CON TAPA Y CHUPONFRASCO GOTERO VIDRIO AMBAR 15ML CON TAPA Y CHUPON,QUESITO SA,50,1.0,1.26,50.0,9.0,59.0,False,False,True,1.26,59.0,FRASCO GOTERO VIDRIO AMBAR 15ML CON TAPA Y CHUPONFRASCO GOTERO VIDRIO AMBAR 15ML CON TAPA Y CHUPON,QUESITO SA,purchases
2025-03-12,5056,PASTILLERO PVC/CRISTAL N°4 80GR T/ROSCA Blanca,ENVIPLAST E.I.R.L.,25,1.48305,1.749999,37.07625,6.673725,43.75,False,False,True,1.749999,43.75,PASTILLERO PVC CRISTAL N 4 80GR T ROSCA BLANCA,ENVIPLAST E I R L,purchases
2025-03-12,5005,FRASCO GOTERO VIDRIO AMBAR 50ML CON TAPA Y CHUPONFRASCO GOTERO VIDRIO AMBAR 50ML CON TAPA Y CHUPON,QUESITO SA,50,1.0,1.96,50.0,9.0,59.0,False,False,True,1.96,59.0,FRASCO GOTERO VIDRIO AMBAR 50ML CON TAPA Y CHUPONFRASCO GOTERO VIDRIO AMBAR 50ML CON TAPA Y CHUPON,QUESITO SA,purchases
2025-03-12,5000,FRASCO GOTERO VIDRIO AMBAR 5ML CON TAPA Y CHUPONFRASCO GOTERO VIDRIO AMBAR 5ML CON TAPA Y CHUPON,QUESITO SA,50,1.0,1.12,50.0,9.0,59.0,False,False,True,1.12,59.0,FRASCO GOTERO VIDRIO AMBAR 5ML CON TAPA Y CHUPONFRASCO GOTERO VIDRIO AMBAR 5ML CON TAPA Y CHUPON,QUESITO SA,purchases
2025-03-12,5006,FRASCO GOTERO VIDRIO AMBAR 100ML CON TAPA Y CHUPONFRASCO GOTERO VIDRIO AMBAR 100ML CON TAPA Y CHUPON,QUESITO SA,50,1.0,2.24,50.0,9.0,59.0,False,False,True,2.24,59.0,FRASCO GOTERO VIDRIO AMBAR 100ML CON TAPA Y CHUPONFRASCO GOTERO VIDRIO AMBAR 100ML CON TAPA Y CHUPON,QUESITO SA,purchases
2025-03-12,5007,TAPA DISPENSADOR BLANCOTAPA DISPENSADORA BLANCO B28MM,QUESITO SA,22,1.0,1.4,22.0,3.96,25.96,False,False,True,1.4,25.96,TAPA DISPENSADOR BLANCOTAPA DISPENSADORA BLANCO B28MM,QUESITO SA,purchases
2025-03-12,5008,FRASCO VIDRIO AMBAR IMPORTADO 125ML TAPA ESPRAY BAJAFRASCO VIDRIO AMBAR IMPORTADO 125ML TAPA ESPRAY BAJA,QUESITO SA,22,1.0,2.8,22.0,3.96,25.96,False,False,True,2.8,25.96,FRASCO VIDRIO AMBAR IMPORTADO 125ML TAPA ESPRAY BAJAFRASCO VIDRIO AMBAR IMPORTADO 125ML TAPA ESPRAY BAJA,QUESITO SA,purchases
2025-03-12,5001,FRASCO GOTERO VIDRIO AMBAR 10ML CON TAPA Y CHUPONFRASCO GOTERO VIDRIO AMBAR 10ML CON TAPA Y CHUPON,QUESITO SA,50,1.0,1.19,50.0,9.0,59.0,False,False,True,1.19,59.0,FRASCO GOTERO VIDRIO AMBAR 10ML CON TAPA Y CHUPONFRASCO GOTERO VIDRIO AMBAR 10ML CON TAPA Y CHUPON,QUESITO SA,purchases
2025-03-12,5009,PROBADOR VIDRIO TRASPARENTE 2ML CON TAPA SPRAYPROBADOR VIDRIO TRASPARENTE 2ML CON TAPA SPRAY,QUESITO SA,24,1.0,0.91,24.0,4.32,28.32,False,False,True,0.91,28.32,PROBADOR VIDRIO TRASPARENTE 2ML CON TAPA SPRAYPROBADOR VIDRIO TRASPARENTE 2ML CON TAPA SPRAY,QUESITO SA,purchases
2025-03-12,5010,PROBADOR VIDRIO TRASPARENTE 3ML CON TAPA SPRAYPROBADOR VIDRIO TRASPARENTE 3ML CON TAPA SPRAY,QUESITO SA,25,1.0,0.98,25.0,4.5,29.5,False,False,True,0.98,29.5,PROBADOR VIDRIO TRASPARENTE 3ML CON TAPA SPRAYPROBADOR VIDRIO TRASPARENTE 3ML CON TAPA SPRAY,QUESITO SA,purchases
2025-03-12,5011,PROBADOR VIDRIO TRASPARENTE 5ML CON TAPA SPRAYPROBADOR VIDRIO TRASPARENTE 5ML CON TAPA SPRAY,QUESITO SA,25,1.0,1.12,25.0,4.5,29.5,False,False,True,1.12,29.5,PROBADOR VIDRIO TRASPARENTE 5ML CON TAPA SPRAYPROBADOR VIDRIO TRASPARENTE 5ML CON TAPA SPRAY,QUESITO SA,purchases
2025-03-12,5012,PROBADOR VIDRIO TRASPARENTE 10ML CON TAPA SPRAYPROBADOR VIDRIO TRASPARENTE 10ML CON TAPA SPRAY,QUESITO SA,25,1.0,1.26,25.0,4.5,29.5,False,False,True,1.26,29.5,PROBADOR VIDRIO TRASPARENTE 10ML CON TAPA SPRAYPROBADOR VIDRIO TRASPARENTE 10ML CON TAPA SPRAY,QUESITO SA,purchases
2025-03-12,5013,FRASCO PARA RIMEL 5ML(9CM X 1CM) CON TAPAFRASCO PARA RIMEL 5ML(9CM X 1CM) CON TAPA,QUESITO SA,25,1.0,2.8,25.0,4.5,29.5,False,False,True,2.8,29.5,FRASCO PARA RIMEL 5ML 9CM X 1CM CON TAPAFRASCO PARA RIMEL 5ML 9CM X 1CM CON TAPA,QUESITO SA,purchases
2025-03-12,5014,POTE CREMERO SIMPLE 30GR CON TAPA Y LAINAPOTE CREMERO SIMPLE 30GR CON TAPA Y LAINA,QUESITO SA,25,1.0,0.504,25.0,4.5,29.5,False,False,True,0.504,29.5,POTE CREMERO SIMPLE 30GR CON TAPA Y LAINAPOTE CREMERO SIMPLE 30GR CON TAPA Y LAINA,QUESITO SA,purchases
2025-03-12,5015,POTE VIDRIO TRANSPARENTE 100GR CON TAPA DE METAL N53POTE PLASTICO 1KG B110 BLANCO C/TAPA,QUESITO SA,25,1.0,0.7714,25.0,4.5,29.5,False,False,True,0.7714,29.5,POTE VIDRIO TRANSPARENTE 100GR CON TAPA DE METAL N53POTE PLASTICO 1KG B110 BLANCO C TAPA,QUESITO SA,purchases
2025-03-12,5016,FRASCO VIDRIO AMBAR HOMBRO CAIDO 250ML TAPA ESPRAY PISTOLAFRASCO VIDRIO AMBAR HOMBRO CAIDO 250ML TAPA ESPRAY PISTOLA,QUESITO SA,23,1.0,3.78,23.0,4.14,27.14,False,False,True,3.78,27.14,FRASCO VIDRIO AMBAR HOMBRO CAIDO 250ML TAPA ESPRAY PISTOLAFRASCO VIDRIO AMBAR HOMBRO CAIDO 250ML TAPA ESPRAY PISTOLA,QUESITO SA,purchases
2025-03-12,5017,POTE CREMERO SIMPLE 60GR CON TAPA Y LAINAPOTE CREMERO SIMPLE 60GR CON TAPA Y LAINA,QUESITO SA,25,1.0,0.91,25.0,4.5,29.5,False,False,True,0.91,29.5,POTE CREMERO SIMPLE 60GR CON TAPA Y LAINAPOTE CREMERO SIMPLE 60GR CON TAPA Y LAINA,QUESITO SA,purchases
2025-03-12,5018,FRASCO PET TRANSPARENTE 30ML CON TAPA SPRAY N20FRASCO BULLET 30ML CON TAPA ATOMIZADOR,QUESITO SA,25,1.0,1.12,25.0,4.5,29.5,False,False,True,1.12,29.5,FRASCO PET TRANSPARENTE 30ML CON TAPA SPRAY N20FRASCO BULLET 30ML CON TAPA ATOMIZADOR,QUESITO SA,purchases
2025-03-12,5019,FRASCO PET TRANSPARENTE 60ML CON TAPA SPRAY N20FRASCO BULLET 60ML CON TAPA ATOMIZADOR,QUESITO SA,19,1.0,1.54,19.0,3.42,22.42,False,False,True,1.54,22.42,FRASCO PET TRANSPARENTE 60ML CON TAPA SPRAY N20FRASCO BULLET 60ML CON TAPA ATOMIZADOR,QUESITO SA,purchases
