date,product_id,product_name,customer,quantity,unit_price_net,unit_price_gross,subtotal_net,tax_amount,total_gross,is_cancelled,is_cancelled_source,is_adjustment,is_active,analysis_unit_price,analysis_total,product_name_norm,customer_norm,source_dataset
2025-03-11,5019,FRASCO BULLET 60ML CON TAPA ATOMIZADOR,ODONTOLOGIA SAN ANTONIO E.I.R.L.,2.0,1.6949152542,2.0,3.3898305085,0.6101694915,4.0,False,NO,False,True,2.0,4.0,FRASCO BULLET 60ML CON TAPA ATOMIZADOR,ODONTOLOGIA SAN ANTONIO E I R L,sales
2025-03-11,5007,TAPA DISPENSADORA BLANCO B28MM,ODONTOLOGIA SAN ANTONIO E.I.R.L.,2.0,1.6949152542,2.0,3.3898305085,0.6101694915,4.0,False,NO,False,True,2.0,4.0,TAPA DISPENSADORA BLANCO B28MM,ODONTOLOGIA SAN ANTONIO E I R L,sales
2025-03-22,5015,POTE PLASTICO 1KG B110 BLANCO C/TAPA,VARIOS,2.0,0.8474576271,1.0,1.6949152542,0.3050847458,2.0,False,NO,False,True,1.0,2.0,POTE PLASTICO 1KG B110 BLANCO C TAPA,VARIOS,sales
2025-03-22,5004,FRASCO GOTERO VIDRIO AMBAR 30ML CON TAPA Y CHUPON,VARIOS,1.0,1.4406779661,1.7,1.4406779661,0.2593220339,1.7,False,NO,False,True,1.7,1.7,FRASCO GOTERO VIDRIO AMBAR 30ML CON TAPA Y CHUPON,VARIOS,sales
2025-03-28,5060,POTE PLASTICO PEAD BLANCO 500GR CON TAPA,VARIOS,6.0,2.5423728814,3.0000000001,15.2542372884,2.7457627119,18.0000000003,False,NO,False,True,3.0000000001,18.0000000003,POTE PLASTICO PEAD BLANCO 500GR CON TAPA,VARIOS,sales
2025-03-28,5065,PISETA 250ML,VARIOS,12.0,3.38983,3.9999994,40.67796,7.3220328,47.9999928,False,NO,False,True,3.9999994,47.9999928,PISETA 250ML,VARIOS,sales
2025-03-28,5066,PISETA 500 ML,VARIOS,1.0,5.50847,6.4999946,5.50847,0.9915246,6.4999946,False,NO,False,True,6.4999946,6.4999946,PISETA 500 ML,VARIOS,sales
2025-03-29,5012,PROBADOR VIDRIO TRASPARENTE 10ML CON TAPA SPRAY,VARIOS,1.0,1.05932,1.2499976,1.05932,0.1906776,1.2499976,False,NO,False,True,1.2499976,1.2499976,PROBADOR VIDRIO TRASPARENTE 10ML CON TAPA SPRAY,VARIOS,sales
2025-03-29,5011,PROBADOR VIDRIO TRASPARENTE 5ML CON TAPA SPRAY,VARIOS,1.0,0.9745762712,1.15,0.9745762712,0.1754237288,1.15,False,NO,False,True,1.15,1.15,PROBADOR VIDRIO TRASPARENTE 5ML CON TAPA SPRAY,VARIOS,sales
2025-03-29,5063,FRASCO VIDRIO AMBAR HOMBRO CAIDO 125ML TAPA ESPRAY PISTOLA negro,VARIOS,1.0,3.3898305085,4.0,3.3898305085,0.6101694915,4.0,False,NO,False,True,4.0,4.0,FRASCO VIDRIO AMBAR HOMBRO CAIDO 125ML TAPA ESPRAY PISTOLA NEGRO,VARIOS,sales
2025-03-29,5008,FRASCO VIDRIO AMBAR IMPORTADO 125ML TAPA ESPRAY BAJA,VARIOS,1.0,2.9661016949,3.5,2.9661016949,0.5338983051,3.5,False,NO,False,True,3.5,3.5,FRASCO VIDRIO AMBAR IMPORTADO 125ML TAPA ESPRAY BAJA,VARIOS,sales
2025-03-29,5018,FRASCO BULLET 30ML CON TAPA ATOMIZADOR,VARIOS,1.0,0.9322,1.099996,0.9322,0.167796,1.099996,False,NO,False,True,1.099996,1.099996,FRASCO BULLET 30ML CON TAPA ATOMIZADOR,VARIOS,sales
2025-03-29,5019,FRASCO BULLET 60ML CON TAPA ATOMIZADOR,VARIOS,2.0,1.6949152542,2.0,3.3898305085,0.6101694915,4.0,False,NO,False,True,2.0,4.0,FRASCO BULLET 60ML CON TAPA ATOMIZADOR,VARIOS,sales
