product_a,product_a_label,product_b,product_b_label,similarity,shared_attributes,shared_attribute_nodes
PRODUCT:5137,TUBO DE ENSAYO C/TAPA ROSCA 13*100 SIMPLE,PRODUCT:5616,TUBO DE ENSAYO T/ROSCA 20*125 PYREX,1.0,2,SUBTYPE:ROSCA|TYPE:TUBO
PRODUCT:5575,TUBO DE ENSAYO T/ROSCA 20*150MM - PYREX,PRODUCT:5616,TUBO DE ENSAYO T/ROSCA 20*125 PYREX,1.0,2,SUBTYPE:ROSCA|TYPE:TUBO
PRODUCT:5464,BOLSAS ZIPLOC 9*14*  (BLS100),PRODUCT:5465,BOLSAS ZIPLOC 7*10 (BLS100),1.0,2,TYPE:BOLSA|SUBTYPE:ZIPLOC
PRODUCT:5464,BOLSAS ZIPLOC 9*14*  (BLS100),PRODUCT:5466,BOLSAS ZIPLOC 5*8 (BLS100),1.0,2,TYPE:BOLSA|SUBTYPE:ZIPLOC
PRODUCT:5464,BOLSAS ZIPLOC 9*14*  (BLS100),PRODUCT:5591,BOLSAS ZIPLOC 10*15* (BLS100),1.0,2,TYPE:BOLSA|SUBTYPE:ZIPLOC
PRODUCT:5464,BOLSAS ZIPLOC 9*14*  (BLS100),PRODUCT:5592,BOLSAS ZIPLOC 4*8 (BLS100),1.0,2,TYPE:BOLSA|SUBTYPE:ZIPLOC
PRODUCT:5465,BOLSAS ZIPLOC 7*10 (BLS100),PRODUCT:5466,BOLSAS ZIPLOC 5*8 (BLS100),1.0,2,TYPE:BOLSA|SUBTYPE:ZIPLOC
PRODUCT:5008,FRASCO VIDRIO AMBAR IMPORTADO 125ML TAPA ESPRAY BAJA,PRODUCT:5533,FRASCO VIDRIO AMBAR IMPORTADO 125ML C/TAPA Y TAPON INTERNO.,1.0,5,MATERIAL:VIDRIO|COLOR:AMBAR|TYPE:FRASCO|FEATURE:IMPORTADO|CAPACITY:125ML
PRODUCT:5016,FRASCO VIDRIO AMBAR HOMBRO CAIDO 250ML TAPA ESPRAY PISTOLA,PRODUCT:5052,FRASCO VIDRIO AMBAR 250ML HOMBRO CAIDO C/TAPA Y TAPON,1.0,4,MATERIAL:VIDRIO|COLOR:AMBAR|TYPE:FRASCO|CAPACITY:250ML
PRODUCT:5016,FRASCO VIDRIO AMBAR HOMBRO CAIDO 250ML TAPA ESPRAY PISTOLA,PRODUCT:5348,FRASCO DE VIDRIO BOCA ANCHA AMBAR TAPA AZUL 250ML,1.0,4,MATERIAL:VIDRIO|COLOR:AMBAR|TYPE:FRASCO|CAPACITY:250ML
PRODUCT:5490,VASO GRADUADO DE PLASTICO 500ML,PRODUCT:5587,VASO DE PLASTICO GRADUADO ALTO RELIEVE 500ML ISOLAB,1.0,3,MATERIAL:PLASTICO|CAPACITY:500ML|FEATURE:GRADUADO
PRODUCT:5052,FRASCO VIDRIO AMBAR 250ML HOMBRO CAIDO C/TAPA Y TAPON,PRODUCT:5348,FRASCO DE VIDRIO BOCA ANCHA AMBAR TAPA AZUL 250ML,1.0,4,MATERIAL:VIDRIO|COLOR:AMBAR|TYPE:FRASCO|CAPACITY:250ML
PRODUCT:5083,VASO PRECIPITADO DE VIDRIO 1L (BEAKER),PRODUCT:5403,MATRAZ ERLENMEYER DE VIDRIO 1L,1.0,2,MATERIAL:VIDRIO|CAPACITY:1L
PRODUCT:5084,VASO PRECIPITADO DE VIDRIO 500 ML (BEAKER),PRODUCT:5106,MATRAZ ERLENMEYER DE VIDRIO 500ML,1.0,2,MATERIAL:VIDRIO|CAPACITY:500ML
PRODUCT:5083,VASO PRECIPITADO DE VIDRIO 1L (BEAKER),PRODUCT:5590,FIOLA 1L VIDRIO,1.0,2,MATERIAL:VIDRIO|CAPACITY:1L
PRODUCT:5084,VASO PRECIPITADO DE VIDRIO 500 ML (BEAKER),PRODUCT:5605,MATRAZ CON PICO KITAZATO DE VIDRIO 500ML,1.0,2,MATERIAL:VIDRIO|CAPACITY:500ML
PRODUCT:5085,VASO PRECIPITADO DE VIDRIO 250 ML (BEAKER) G-,PRODUCT:5086,VASO PRECIPITADO DE VIDRIO FORMA ALTA 250 ML (BEAKER),1.0,2,MATERIAL:VIDRIO|CAPACITY:250ML
PRODUCT:5086,VASO PRECIPITADO DE VIDRIO FORMA ALTA 250 ML (BEAKER),PRODUCT:5515,FIOLA DE VIDRIO 250ML,1.0,2,MATERIAL:VIDRIO|CAPACITY:250ML
PRODUCT:5085,VASO PRECIPITADO DE VIDRIO 250 ML (BEAKER) G-,PRODUCT:5105,MATRAZ ERLENMEYER DE VIDRIO 250ML,1.0,2,MATERIAL:VIDRIO|CAPACITY:250ML
PRODUCT:5085,VASO PRECIPITADO DE VIDRIO 250 ML (BEAKER) G-,PRODUCT:5515,FIOLA DE VIDRIO 250ML,1.0,2,MATERIAL:VIDRIO|CAPACITY:250ML
PRODUCT:5086,VASO PRECIPITADO DE VIDRIO FORMA ALTA 250 ML (BEAKER),PRODUCT:5105,MATRAZ ERLENMEYER DE VIDRIO 250ML,1.0,2,MATERIAL:VIDRIO|CAPACITY:250ML
PRODUCT:5088,VASO PRECIPITADO DE VIDRIO 50ML (BEAKER),PRODUCT:5461,MATRAZ ERLENMEYER DE VIDRIO BORO 50ML g-,1.0,2,MATERIAL:VIDRIO|CAPACITY:50ML
PRODUCT:5087,VASO PRECIPITADO DE VIDRIO 100 ML (BEAKER),PRODUCT:5402,MATRAZ ERLENMEYER DE VIDRIO BORO 100ML,1.0,2,MATERIAL:VIDRIO|CAPACITY:100ML
PRODUCT:5088,VASO PRECIPITADO DE VIDRIO 50ML (BEAKER),PRODUCT:5614,BURETA DE VIDRIO C/LLAVE TEFLON 50ML,1.0,2,MATERIAL:VIDRIO|CAPACITY:50ML
PRODUCT:5097,BURETA DE VIDRIO GRADUADO DE 25 ML CON LLAVE DE VIDRIO,PRODUCT:5514,PIPETA SEREOLOGICA GRADUADA VIDRIO 25ML,1.0,3,MATERIAL:VIDRIO|FEATURE:GRADUADO|CAPACITY:25ML
PRODUCT:5156,FRASCO VIDRIO AMBAR 30ML C/TAPA Y TAPON B18,PRODUCT:5398,FRASCO VIDRIO AMBAR 30ML B18 C/TAPA ESPRAY,1.0,5,MATERIAL:VIDRIO|COLOR:AMBAR|CAPACITY:30ML|TYPE:FRASCO|MOUTH_SIZE:18MM
PRODUCT:5103,TUBO DE ENSAYO DE VIDRIO 12*75MM (PAQ 250UND),PRODUCT:5303,TUBO DE ENSAYO DE VIDRIO 13*100MM (bx250u),1.0,2,MATERIAL:VIDRIO|TYPE:TUBO
PRODUCT:5105,MATRAZ ERLENMEYER DE VIDRIO 250ML,PRODUCT:5515,FIOLA DE VIDRIO 250ML,1.0,2,MATERIAL:VIDRIO|CAPACITY:250ML
PRODUCT:5316,GOTERO VIDRIO AMBAR 30ML C/TAPA Y CHUPON C/SEGURO,PRODUCT:5400,GOTERO  VIDRIO AMBAR 30ML TAPA METALIZADA DORADA Y CHUPON,1.0,6,TYPE:GOTERO|SUBTYPE:CHUPON|ACCESSORY:CHUPON|MATERIAL:VIDRIO|COLOR:AMBAR|CAPACITY:30ML
PRODUCT:5106,MATRAZ ERLENMEYER DE VIDRIO 500ML,PRODUCT:5605,MATRAZ CON PICO KITAZATO DE VIDRIO 500ML,1.0,2,MATERIAL:VIDRIO|CAPACITY:500ML
PRODUCT:5110,PIPETA SEREOLOGICA GRADUADA DE VIDRIO DE 10ML - CITOGLAS,PRODUCT:5349,BURETA DE VIDRIO GRADUADO DE 10ML CON LLAVE DE VIDRIO,1.0,3,MATERIAL:VIDRIO|CAPACITY:10ML|FEATURE:GRADUADO
PRODUCT:5110,PIPETA SEREOLOGICA GRADUADA DE VIDRIO DE 10ML - CITOGLAS,PRODUCT:5384,VASO DE VIDRIO BORO GRADUADO 10ML,1.0,3,MATERIAL:VIDRIO|CAPACITY:10ML|FEATURE:GRADUADO
PRODUCT:5152,FRASCO VIDRIO AMBAR 5ML C/TAPA Y TAPON B18,PRODUCT:5576,FRASCO VIDRIO AMBAR 5ML B18 TAPA ESPRAY,1.0,5,MATERIAL:VIDRIO|COLOR:AMBAR|CAPACITY:5ML|TYPE:FRASCO|MOUTH_SIZE:18MM
PRODUCT:5340,FRASCO PET COLORES BOSTON 120ML C/TAPA ESPRAY B20,PRODUCT:5518,FRASCO PET DE COLORES BOSTON 120ML C/TAPA FLIP TOP N20,1.0,4,TYPE:FRASCO|MATERIAL:PET|CAPACITY:120ML|MOUTH_SIZE:20MM
PRODUCT:5150,FRASCO VIDRIO TRANSPARENTE 15ML C/TAPA Y TAPON N18,PRODUCT:5300,FRASCO VIDRIO TRANSPARENTE 15ML B18 C/TAPA ESPRAY,1.0,5,MATERIAL:VIDRIO|CAPACITY:15ML|TYPE:FRASCO|COLOR:TRANSPARENTE|MOUTH_SIZE:18MM
PRODUCT:5155,FRASCO VIDRIO AMBAR 20ML C/TAPA Y TAPON B18,PRODUCT:5397,FRASCO VIDRIO AMBAR 20ML B18 C/TAPA ESPRAY,1.0,5,MATERIAL:VIDRIO|COLOR:AMBAR|CAPACITY:20ML|TYPE:FRASCO|MOUTH_SIZE:18MM
PRODUCT:5154,FRASCO VIDRIO AMBAR 15ML C/TAPA Y TAPON B18,PRODUCT:5378,FRASCO VIDRIO AMBAR 15ML B18 TAPA ESPRAY,1.0,5,MATERIAL:VIDRIO|COLOR:AMBAR|CAPACITY:15ML|TYPE:FRASCO|MOUTH_SIZE:18MM
PRODUCT:5349,BURETA DE VIDRIO GRADUADO DE 10ML CON LLAVE DE VIDRIO,PRODUCT:5384,VASO DE VIDRIO BORO GRADUADO 10ML,1.0,3,MATERIAL:VIDRIO|CAPACITY:10ML|FEATURE:GRADUADO
PRODUCT:5403,MATRAZ ERLENMEYER DE VIDRIO 1L,PRODUCT:5590,FIOLA 1L VIDRIO,1.0,2,MATERIAL:VIDRIO|CAPACITY:1L
PRODUCT:5183,FRASCO VIDRIO TRANSPARENTE ALTO 50ML PERFUME C/TAPA SPRAY METALIZADO N18,PRODUCT:5184,FRASCO VIDRIO TRANSPARENTE CUADRADO 50ML PERFUME C/TAPA SPRAY METALIZADO N18,1.0,6,MATERIAL:VIDRIO|CAPACITY:50ML|TYPE:FRASCO|SUBTYPE:ATOMIZADOR|COLOR:TRANSPARENTE|MOUTH_SIZE:18MM
PRODUCT:5157,FRASCO VIDRIO AMBAR 50ML C/TAPA Y TAPON B18,PRODUCT:5377,FRASCO VIDRIO AMBAR 50ML B18 TAPA ESPRAY,1.0,5,MATERIAL:VIDRIO|COLOR:AMBAR|CAPACITY:50ML|TYPE:FRASCO|MOUTH_SIZE:18MM
