source,target,relation,weight,evidence
PRODUCT:0,TYPE:EQUIPO,HAS_TYPE,0.84,LAPTOP MAMEL
PRODUCT:3,TYPE:BOLSA,HAS_TYPE,0.91,BOLSA 16*19 C/ASA *100UND
PRODUCT:4,TYPE:BOLSA,HAS_TYPE,0.91,BOLSA 12*16 BCO ALFA *100UND
PRODUCT:8,TYPE:BOLSA,HAS_TYPE,0.91,BOLSA 16*19 C/ASA*100UND
PRODUCT:9,TYPE:BOLSA,HAS_TYPE,0.91,BOLSA 21*24
PRODUCT:5000,TYPE:GOTERO,HAS_TYPE,0.95,FRASCO GOTERO VIDRIO AMBAR 5ML CON TAPA Y CHUPON
PRODUCT:5000,SUBTYPE:CHUPON,HAS_SUBTYPE,0.94,FRASCO GOTERO VIDRIO AMBAR 5ML CON TAPA Y CHUPON
PRODUCT:5000,ACCESSORY:CHUPON,HAS_ACCESSORY,0.92,FRASCO GOTERO VIDRIO AMBAR 5ML CON TAPA Y CHUPON
PRODUCT:5000,ACCESSORY:TAPA,HAS_ACCESSORY,0.92,FRASCO GOTERO VIDRIO AMBAR 5ML CON TAPA Y CHUPON
PRODUCT:5000,MATERIAL:VIDRIO,HAS_MATERIAL,0.94,FRASCO GOTERO VIDRIO AMBAR 5ML CON TAPA Y CHUPON
PRODUCT:5000,COLOR:AMBAR,HAS_COLOR,0.94,FRASCO GOTERO VIDRIO AMBAR 5ML CON TAPA Y CHUPON
PRODUCT:5000,CAPACITY:5ML,HAS_CAPACITY,0.95,FRASCO GOTERO VIDRIO AMBAR 5ML CON TAPA Y CHUPON
PRODUCT:5001,TYPE:GOTERO,HAS_TYPE,0.95,FRASCO GOTERO VIDRIO AMBAR 10ML CON TAPA Y CHUPON
PRODUCT:5001,SUBTYPE:CHUPON,HAS_SUBTYPE,0.94,FRASCO GOTERO VIDRIO AMBAR 10ML CON TAPA Y CHUPON
PRODUCT:5001,ACCESSORY:CHUPON,HAS_ACCESSORY,0.92,FRASCO GOTERO VIDRIO AMBAR 10ML CON TAPA Y CHUPON
PRODUCT:5001,ACCESSORY:TAPA,HAS_ACCESSORY,0.92,FRASCO GOTERO VIDRIO AMBAR 10ML CON TAPA Y CHUPON
