source,source_label,relation,target,target_label,weight
PRODUCT:0,LAPTOP MAMEL,HAS_TYPE,TYPE:EQUIPO,equipo,0.84
PRODUCT:3,BOLSA 16*19 C/ASA *100UND,HAS_TYPE,TYPE:BOLSA,bolsa,0.91
PRODUCT:3,BOLSA 16*19 C/ASA *100UND,HAS_ACCESSORY,ACCESSORY:ASA,asa,0.85
PRODUCT:4,BOLSA 12*16 BCO ALFA *100UND,HAS_TYPE,TYPE:BOLSA,bolsa,0.91
PRODUCT:8,BOLSA 16*19 C/ASA*100UND,HAS_TYPE,TYPE:BOLSA,bolsa,0.91
PRODUCT:8,BOLSA 16*19 C/ASA*100UND,HAS_ACCESSORY,ACCESSORY:ASA,asa,0.85
PRODUCT:9,BOLSA 21*24,HAS_TYPE,TYPE:BOLSA,bolsa,0.91
PRODUCT:5000,FRASCO GOTERO VIDRIO AMBAR 5ML CON TAPA Y CHUPON,HAS_TYPE,TYPE:GOTERO,gotero,0.95
PRODUCT:5000,FRASCO GOTERO VIDRIO AMBAR 5ML CON TAPA Y CHUPON,HAS_SUBTYPE,SUBTYPE:CHUPON,chupon,0.94
PRODUCT:5000,FRASCO GOTERO VIDRIO AMBAR 5ML CON TAPA Y CHUPON,HAS_ACCESSORY,ACCESSORY:CHUPON,chupon,0.92
PRODUCT:5000,FRASCO GOTERO VIDRIO AMBAR 5ML CON TAPA Y CHUPON,HAS_ACCESSORY,ACCESSORY:TAPA,tapa,0.92
PRODUCT:5000,FRASCO GOTERO VIDRIO AMBAR 5ML CON TAPA Y CHUPON,HAS_MATERIAL,MATERIAL:VIDRIO,VIDRIO,0.94
PRODUCT:5000,FRASCO GOTERO VIDRIO AMBAR 5ML CON TAPA Y CHUPON,HAS_COLOR,COLOR:AMBAR,AMBAR,0.94
PRODUCT:5000,FRASCO GOTERO VIDRIO AMBAR 5ML CON TAPA Y CHUPON,HAS_CAPACITY,CAPACITY:5ML,5ML,0.95
PRODUCT:5001,FRASCO GOTERO VIDRIO AMBAR 10ML CON TAPA Y CHUPON,HAS_TYPE,TYPE:GOTERO,gotero,0.95
PRODUCT:5001,FRASCO GOTERO VIDRIO AMBAR 10ML CON TAPA Y CHUPON,HAS_SUBTYPE,SUBTYPE:CHUPON,chupon,0.94
PRODUCT:5001,FRASCO GOTERO VIDRIO AMBAR 10ML CON TAPA Y CHUPON,HAS_ACCESSORY,ACCESSORY:CHUPON,chupon,0.92
PRODUCT:5001,FRASCO GOTERO VIDRIO AMBAR 10ML CON TAPA Y CHUPON,HAS_ACCESSORY,ACCESSORY:TAPA,tapa,0.92
PRODUCT:5001,FRASCO GOTERO VIDRIO AMBAR 10ML CON TAPA Y CHUPON,HAS_MATERIAL,MATERIAL:VIDRIO,VIDRIO,0.94
PRODUCT:5001,FRASCO GOTERO VIDRIO AMBAR 10ML CON TAPA Y CHUPON,HAS_COLOR,COLOR:AMBAR,AMBAR,0.94
PRODUCT:5001,FRASCO GOTERO VIDRIO AMBAR 10ML CON TAPA Y CHUPON,HAS_CAPACITY,CAPACITY:10ML,10ML,0.95
PRODUCT:5002,FRASCO GOTERO VIDRIO AMBAR 15ML CON TAPA Y CHUPON,HAS_TYPE,TYPE:GOTERO,gotero,0.95
PRODUCT:5002,FRASCO GOTERO VIDRIO AMBAR 15ML CON TAPA Y CHUPON,HAS_SUBTYPE,SUBTYPE:CHUPON,chupon,0.94
PRODUCT:5002,FRASCO GOTERO VIDRIO AMBAR 15ML CON TAPA Y CHUPON,HAS_ACCESSORY,ACCESSORY:CHUPON,chupon,0.92
PRODUCT:5002,FRASCO GOTERO VIDRIO AMBAR 15ML CON TAPA Y CHUPON,HAS_ACCESSORY,ACCESSORY:TAPA,tapa,0.92
PRODUCT:5002,FRASCO GOTERO VIDRIO AMBAR 15ML CON TAPA Y CHUPON,HAS_MATERIAL,MATERIAL:VIDRIO,VIDRIO,0.94
PRODUCT:5002,FRASCO GOTERO VIDRIO AMBAR 15ML CON TAPA Y CHUPON,HAS_COLOR,COLOR:AMBAR,AMBAR,0.94
PRODUCT:5002,FRASCO GOTERO VIDRIO AMBAR 15ML CON TAPA Y CHUPON,HAS_CAPACITY,CAPACITY:15ML,15ML,0.95
