product_id,product_name,total_value,sale_lines,value_share,cumulative_share,abc_class
5005,FRASCO GOTERO VIDRIO AMBAR 50ML CON TAPA Y CHUPON,11037.5,75,0.05213,0.05213,A
5168,POTE CREMERO VIDRIO AMBAR 100GR C/TAPA NEGRA Y LAINA,5457.3,30,0.025775,0.077905,A
5245,FRASCO VIDRIO TRANSPARENTE 20ML C/TAPA BAQUELITA N24 Y LAINA SILICONA,5361.3,22,0.025321,0.103226,A
5195,TUBO COLAPSIBLE BLANCO 60ML C/TAPA,4681.3,25,0.02211,0.125336,A
5001,FRASCO GOTERO VIDRIO AMBAR 10ML CON TAPA Y CHUPON,4263.9498704,71,0.020138,0.145474,A
5004,FRASCO GOTERO VIDRIO AMBAR 30ML CON TAPA Y CHUPON,4029.9500000002,92,0.019033,0.164507,A
5228,VIAL VIDRIO TRANSPARENTE 7ML B20 C/TAPA BUTILO COLOR GRIS,3972.7,7,0.018763,0.18327,A
5206,LATA DE ALUMINIO PLATEADA 50GR C/TAPA,3651.7,18,0.017247,0.200517,A
5007,TAPA DISPENSADORA BLANCO B28MM,2414.8199999998,116,0.011405,0.211922,A
5066,PISETA 500 ML,2157.2999946,79,0.010189,0.222111,A
5122,POTE ACRILICO 10GR C/TAPA ROSCA,2088.4,47,0.009863,0.231974,A
5286,FRASCO PET TRANSPARENTE 250ML C/TAPA SPRAY MINI PISTOLA N24 COLOR BLANCO,1950.0,1,0.00921,0.241184,A
5070,FRASCO PET TRANSPARENTE 60ML CON TAPA Y TAPON N°28,1804.199999984,3,0.008521,0.249705,A
5006,FRASCO GOTERO VIDRIO AMBAR 100ML CON TAPA Y CHUPON,1755.1,67,0.008289,0.257994,A
5535,FRASCO VIDRIO AMBAR IMPORTADO 500ML C/TAPA Y TAPON INTERNO.,1734.4,22,0.008191,0.266185,A
6,MATERIAL MEDICO MASCARILLAS FISH BLANCAS CAJÓN,1680.0,1,0.007935,0.27412,A
5037,FRASCO PLASTICO NATURAL 1LT CON TAPA Y TAPON N28,1673.21625,55,0.007903,0.282023,A
5074,FRASCO BULLET 100ML CON TAPA ATOMIZADOR,1661.1999999999,69,0.007846,0.289869,A
5314,POTE PET TRANSPARENTE 1KG C/TAPA,1603.1,17,0.007571,0.29744,A
5062,POTE PLASTICO PEAD BLANCO 500GR CON TAPA Y LAINA,1577.65,28,0.007451,0.304891,A
5257,POTE PET TRANSPARENTE 250GR C/TAPA ROSCA,1568.4,27,0.007407,0.312298,A
5085,VASO PRECIPITADO DE VIDRIO 250 ML (BEAKER) G-,1559.0,90,0.007363,0.319661,A
5065,PISETA 250ML,1527.0999928,104,0.007212,0.326873,A
5064,GATILLO PULVERIZADOR 28/410,1508.3,91,0.007124,0.333997,A
10,EQUIPOS DE SEGURIDAD GUANTES SHOWA,1500.0,1,0.007084,0.341081,A
5060,POTE PLASTICO PEAD BLANCO 500GR CON TAPA,1478.1000000003,23,0.006981,0.348062,A
5225,PLACA PETRI VIDRIO 90*15,1374.5,26,0.006492,0.354554,A
5327,FRASCO PET 1LT TRANSPARENTE C/TAPA Y TAPON N28.,1337.5,10,0.006317,0.360871,A
5036,FRASCO PLASTICO NATURAL 500ML CON TAPON Y TAPA B28MM,1313.4499316000001,39,0.006203,0.367074,A
5167,POTE CREMERO VIDRIO AMBAR 50GR C/TAPA NEGRA Y LAINA,1286.9,35,0.006078,0.373152,A
5478,FRASCO CILINDRO PET TRANSPARENTE 250ML B28 SIN TAPA,1286.8,31,0.006077,0.379229,A
5533,FRASCO VIDRIO AMBAR IMPORTADO 125ML C/TAPA Y TAPON INTERNO.,1275.4,17,0.006024,0.385253,A
5002,FRASCO GOTERO VIDRIO AMBAR 15ML CON TAPA Y CHUPON,1265.33,59,0.005976,0.391229,A
5277,POTE CREMERO DOBLE FONDO 60GR BLANCO C/TAPA Y LAINA NACIONAL,1256.0,24,0.005932,0.397161,A
5246,GOTERO VIDRIO TRANSPARENTE 10ML C/TAPA Y CHUPON,1254.0,10,0.005923,0.403084,A
5245,FRASCO VIDRIO TRANSPARENTE 20ML C/TAPA BAQUELITA N24 Y LAINA SILICONA con stickers,1250.0,1,0.005904,0.408988,A
5285,SOLO MINI TRIGGER BLANCO B28,1229.0,34,0.005805,0.414793,A
5245,FRASCO VIDRIO TRANSPARENTE 20ML C/TAPA BAQUELITA N24 Y LAINA SILICONA 600.00 por concepto de adelanto. resta 600,1200.0,1,0.005668,0.420461,A
5087,VASO PRECIPITADO DE VIDRIO 100 ML (BEAKER),1167.9999932,80,0.005516,0.425977,A
5511,POTE PET TRANSPARENTE 750ML C/TAPA,1160.8,10,0.005482,0.431459,A
5178,POTE VIDRIO TRANSPARENTE 200ML C/TAPA METAL N63,1160.5,19,0.005481,0.43694,A
