product_id,product_name,best_supplier,reference_unit_cost,effective_unit_cost,bellman_ford_distance,savings_per_unit,savings_pct,capacity_units,supplier_capacity,purchase_lines,last_purchase,has_negative_edge
0001,utiles de oficina,GRIT LABS S.A.C.,231.6,17.3,-214.3,214.3,0.925302,1.0,11.0,1,2026-03-26,True
0007,"GASTOS ADMINISTRITIVOS, MENAJES Y ONOMASTICOS",SHALOM EMPRESARIAL S.A.C.,150.75,1.0,-149.75,149.75,0.993367,20.0,20.0,1,2025-11-07,True
0008,BOLSA 16*19 C/ASA*100UND,NEGOCIACIONES MANTARI E.I.R.L.,105.25,4.5,-100.75,100.75,0.957245,2.0,300.0,2,2026-04-21,True
5469,BALANZA DIGITAL,CORPORACION PROMELAB E.I.R.L.,28.75,10.0,-18.75,18.75,0.652174,7.0,1250.0,4,2026-03-07,True
5446,PUNTERA DE 100-1000 UL AZUL GRADUADA (BLS *500UND),CORPORACION PROMELAB E.I.R.L.,23.75,7.0,-16.75,16.75,0.705263,2.0,1250.0,4,2026-02-25,True
5103,TUBO DE ENSAYO DE VIDRIO 12*75MM (PAQ 250UND),BIO CHEMICALSS S.A.C.,15.344,0.064,-15.28,15.28,0.995829,250.0,500.0,3,2026-01-21,True
5127,CUCHARA CON ESPATULA DE METAL 20CM,CORPORACION PROMELAB E.I.R.L.,14.5,4.0,-10.5,10.5,0.724138,11.0,1250.0,6,2026-04-16,True
5102,SOPORTE UNIVERSAL C/BASE Y VARILLA PINTADA - INTEK,CORPORACION PROMELAB E.I.R.L.,52.5,45.0,-7.5,7.5,0.142857,1.0,1250.0,2,2025-11-08,True
5590,FIOLA 1L VIDRIO,CORPORACION PROMELAB E.I.R.L.,26.5,20.0,-6.5,6.5,0.245283,2.0,1250.0,2,2026-04-29,True
5111,MECHERO BUNSEN PLOMO,CORPORACION PROMELAB E.I.R.L.,41.25,35.0,-6.25,6.25,0.151515,2.0,1250.0,4,2025-12-04,True
