product_id,product_name,supplier,supplier_norm,supplier_options,effective_unit_cost,reference_unit_cost,edge_weight,savings_per_unit,savings_pct,capacity_units,supplier_capacity,purchase_lines,last_purchase,is_negative_edge,scenario_type
0001,utiles de oficina,GRIT LABS S.A.C.,GRIT LABS S A C,2,17.3,231.6,-214.3,214.3,0.925302,1,11,1,2026-03-26,True,historical_saving
0001,utiles de oficina,COMERCIAL FERRETERA SARASARA S.A.C.,COMERCIAL FERRETERA SARASARA S A C,2,351.8,231.6,120.2,-120.2,-0.518998,1,4424,2,2025-04-28,False,at_or_above_reference
0002,ORTOPEDIA,MULTI SALUX E.I.R.L.,MULTI SALUX E I R L,1,150.0,150.0,0.0,0.0,0.0,1,1,1,2025-06-21,False,at_or_above_reference
0003,BOLSA 16*19 C/ASA *100UND,NEGOCIACIONES MANTARI E.I.R.L.,NEGOCIACIONES MANTARI E I R L,1,4.5,4.5,0.0,0.0,0.0,3,300,1,2025-08-26,False,at_or_above_reference
0004,BOLSA 12*16 BCO ALFA *100UND,NEGOCIACIONES MANTARI E.I.R.L.,NEGOCIACIONES MANTARI E I R L,1,3.0,3.0,0.0,0.0,0.0,3,300,2,2025-12-01,False,at_or_above_reference
0005,TEMPLE Y SELLADOR MAJESTAADARTICULOS DE FERRETERIA,GRUPO CARLITOS SOCIEDAD ANONIMA CERRADA - GRUPO CARLITOS S.A.C.,GRUPO CARLITOS SOCIEDAD ANONIMA CERRADA GRUPO CARLITOS S A C,1,76.0,76.0,0.0,0.0,0.0,1,1,1,2026-04-28,False,at_or_above_reference
0006,MATERIAL MEDICO,DIMMED S.A.C.,DIMMED S A C,3,4.0,5.0,-1.0,1.0,0.2,6,6,1,2026-02-18,True,historical_saving
0006,mascarillas MATERIAL MEDICO,SANDOVAL SANTISTEBAN JOSE DEL CARMEN,SANDOVAL SANTISTEBAN JOSE DEL CARMEN,3,5.0,5.0,0.0,0.0,0.0,128,128,1,2026-01-28,False,at_or_above_reference
0006,BASTONMATERIAL MEDICO,MULTI SALUX E.I.R.L.,MULTI SALUX E I R L,3,20.0,5.0,15.0,-15.0,-3.0,1,1,1,2026-02-20,False,at_or_above_reference
0007,"GASTOS ADMINISTRITIVOS, MENAJES Y ONOMASTICOS",SHALOM EMPRESARIAL S.A.C.,SHALOM EMPRESARIAL S A C,4,1.0,150.75,-149.75,149.75,0.993367,20,20,1,2025-11-07,True,historical_saving
0007,"GASTOS ADMINISTRITIVOS, MENAJES Y ONOMASTICOS",INVERSIONES GASTRONOMICAS GAMALMA E.I.R.L.,INVERSIONES GASTRONOMICAS GAMALMA E I R L,4,120.0,150.75,-30.75,30.75,0.20398,1,1,1,2026-04-26,True,historical_saving
0007,"GASTOS ADMINISTRITIVOS, MENAJES Y ONOMASTICOS",GRUPO EL TRIDENTE S.A.C.,GRUPO EL TRIDENTE S A C,4,181.5,150.75,30.75,-30.75,-0.20398,1,1,1,2025-12-31,False,at_or_above_reference
0007,"GASTOS ADMINISTRITIVOS, MENAJES Y ONOMASTICOS",RINCON CERVECERO S.A.,RINCON CERVECERO S A,4,233.4,150.75,82.65,-82.65,-0.548259,1,1,1,2026-03-05,False,at_or_above_reference
0008,BOLSA 16*19 C/ASA*100UND,NEGOCIACIONES MANTARI E.I.R.L.,NEGOCIACIONES MANTARI E I R L,1,4.5,105.25,-100.75,100.75,0.957245,2,300,2,2026-04-21,True,historical_saving
0009,BOLSA 21*24,NEGOCIACIONES MANTARI E.I.R.L.,NEGOCIACIONES MANTARI E I R L,1,10.0,10.0,0.0,0.0,0.0,2,300,1,2025-12-01,False,at_or_above_reference
5000,FRASCO GOTERO VIDRIO AMBAR 5ML CON TAPA Y CHUPON,ENVIPLAST E.I.R.L.,ENVIPLAST E I R L,4,0.8,0.8,0.0,0.0,0.0,100,2050,6,2025-08-07,False,at_or_above_reference
5000,FRASCO GOTERO VIDRIO AMBAR 5ML CON TAPA Y CHUPON,ESNA MEDIC INVERSIONES S.A.C.,ESNA MEDIC INVERSIONES S A C,4,0.8,0.8,0.0,0.0,0.0,500,3650,2,2025-11-06,False,at_or_above_reference
5000,FRASCO GOTERO VIDRIO AMBAR 5ML CON TAPA Y CHUPON,COMERCIAL FERRETERA SARASARA S.A.C.,COMERCIAL FERRETERA SARASARA S A C,4,0.8,0.8,0.0,0.0,0.0,500,4424,1,2025-11-06,False,at_or_above_reference
5000,FRASCO GOTERO VIDRIO AMBAR 5ML CON TAPA Y CHUPONFRASCO GOTERO VIDRIO AMBAR 5ML CON TAPA Y CHUPON,QUESITO SA,QUESITO SA,4,1.12,0.8,0.32,-0.32,-0.4,50,850,1,2025-03-12,False,at_or_above_reference
5001,FRASCO GOTERO VIDRIO AMBAR 10ML CON TAPA Y CHUPON,ENVIPLAST E.I.R.L.,ENVIPLAST E I R L,4,0.85,0.85,0.0,0.0,0.0,100,2050,5,2025-07-24,False,at_or_above_reference
5001,FRASCO GOTERO VIDRIO AMBAR 10ML CON TAPA Y CHUPON,ESNA MEDIC INVERSIONES S.A.C.,ESNA MEDIC INVERSIONES S A C,4,0.85,0.85,0.0,0.0,0.0,1000,3650,3,2025-11-19,False,at_or_above_reference
5001,FRASCO GOTERO VIDRIO AMBAR 10ML CON TAPA Y CHUPON,COMERCIAL FERRETERA SARASARA S.A.C.,COMERCIAL FERRETERA SARASARA S A C,4,0.85,0.85,0.0,0.0,0.0,2000,4424,1,2025-11-19,False,at_or_above_reference
5001,FRASCO GOTERO VIDRIO AMBAR 10ML CON TAPA Y CHUPONFRASCO GOTERO VIDRIO AMBAR 10ML CON TAPA Y CHUPON,QUESITO SA,QUESITO SA,4,1.19,0.85,0.34,-0.34,-0.4,50,850,1,2025-03-12,False,at_or_above_reference
5002,FRASCO GOTERO VIDRIO AMBAR 15ML CON TAPA Y CHUPON,ENVIPLAST E.I.R.L.,ENVIPLAST E I R L,4,0.9,0.9,0.0,0.0,0.0,100,2050,4,2025-07-07,False,at_or_above_reference
5002,FRASCO GOTERO VIDRIO AMBAR 15ML CON TAPA Y CHUPON,COMERCIAL FERRETERA SARASARA S.A.C.,COMERCIAL FERRETERA SARASARA S A C,4,0.9,0.9,0.0,0.0,0.0,156,4424,2,2026-01-01,False,at_or_above_reference
5002,FRASCO GOTERO VIDRIO AMBAR 15ML CON TAPA Y CHUPON,ESNA MEDIC INVERSIONES S.A.C.,ESNA MEDIC INVERSIONES S A C,4,0.9,0.9,0.0,0.0,0.0,200,3650,1,2025-09-15,False,at_or_above_reference
5002,FRASCO GOTERO VIDRIO AMBAR 15ML CON TAPA Y CHUPONFRASCO GOTERO VIDRIO AMBAR 15ML CON TAPA Y CHUPON,QUESITO SA,QUESITO SA,4,1.26,0.9,0.36,-0.36,-0.4,50,850,1,2025-03-12,False,at_or_above_reference
5003,FRASCO GOTERO VIDRIO AMBAR 20ML CON TAPA Y CHUPON,ENVIPLAST E.I.R.L.,ENVIPLAST E I R L,5,0.999991,1.0,-9e-06,9e-06,9e-06,80,2050,7,2025-08-20,True,historical_saving
5003,FRASCO GOTERO VIDRIO AMBAR 20ML CON TAPA Y CHUPON,COMERCIAL FERRETERA SARASARA S.A.C.,COMERCIAL FERRETERA SARASARA S A C,5,1.0,1.0,0.0,0.0,0.0,25,4424,1,2025-12-03,False,at_or_above_reference
5003,FRASCO GOTERO VIDRIO AMBAR 20ML CON TAPA Y CHUPON,ESNA MEDIC INVERSIONES S.A.C.,ESNA MEDIC INVERSIONES S A C,5,1.0,1.0,0.0,0.0,0.0,200,3650,1,2025-09-15,False,at_or_above_reference
5003,FRASCO GOTERO VIDRIO AMBAR 20ML CON TAPA Y CHUPON,VARIOS,VARIOS,5,1.0,1.0,0.0,0.0,0.0,100,100,1,2025-08-26,False,at_or_above_reference
5003,FRASCO GOTERO VIDRIO AMBAR 20ML CON TAPA Y CHUPONFRASCO GOTERO VIDRIO AMBAR 20ML CON TAPA Y CHUPON,QUESITO SA,QUESITO SA,5,1.4,1.0,0.4,-0.4,-0.4,50,850,1,2025-03-12,False,at_or_above_reference
5004,FRASCO GOTERO VIDRIO AMBAR 30ML CON TAPA Y CHUPON,CORPORACION PROMELAB E.I.R.L.,CORPORACION PROMELAB E I R L,4,1.0,1.199999,-0.199999,0.199999,0.166666,110,1250,9,2026-01-26,True,historical_saving
5004,FRASCO GOTERO VIDRIO AMBAR 30ML CON TAPA Y CHUPON,ENVIPLAST E.I.R.L.,ENVIPLAST E I R L,4,1.199989,1.199999,-1e-05,1e-05,8e-06,100,2050,5,2026-03-31,True,historical_saving
5004,FRASCO GOTERO VIDRIO AMBAR 30ML CON TAPA Y CHUPON,ESNA MEDIC INVERSIONES S.A.C.,ESNA MEDIC INVERSIONES S A C,4,1.2,1.199999,1e-06,-1e-06,-1e-06,200,3650,1,2025-09-15,False,at_or_above_reference
5004,FRASCO GOTERO VIDRIO AMBAR 30ML CON TAPA Y CHUPONFRASCO GOTERO VIDRIO AMBAR 30ML CON TAPA Y CHUPON,QUESITO SA,QUESITO SA,4,1.68,1.199999,0.480001,-0.480001,-0.400001,50,850,1,2025-03-12,False,at_or_above_reference
5005,FRASCO GOTERO VIDRIO AMBAR 50ML CON TAPA Y CHUPON,ENVIPLAST E.I.R.L.,ENVIPLAST E I R L,4,1.4,1.45,-0.05,0.05,0.034483,205,2050,7,2026-03-28,True,historical_saving
