source,target,weight,edge_type,product_id,supplier,product_name,effective_unit_cost,reference_unit_cost,savings_per_unit,savings_pct,capacity_units,supplier_capacity,purchase_lines,last_purchase
SOURCE,PRODUCT:0001,0.0,start_product,0001,,,,,,,,,,
PRODUCT:0001,OPTION:0001:GRIT LABS S A C,-214.3,historical_saving,0001,GRIT LABS S.A.C.,utiles de oficina,17.3,231.6,214.3,0.925302,1.0,11.0,1.0,2026-03-26
OPTION:0001:GRIT LABS S A C,SINK:0001,0.0,finish_product,0001,GRIT LABS S.A.C.,,,,,,,,,
PRODUCT:0001,OPTION:0001:COMERCIAL FERRETERA SARASARA S A C,120.2,at_or_above_reference,0001,COMERCIAL FERRETERA SARASARA S.A.C.,utiles de oficina,351.8,231.6,-120.2,-0.518998,1.0,4424.0,2.0,2025-04-28
OPTION:0001:COMERCIAL FERRETERA SARASARA S A C,SINK:0001,0.0,finish_product,0001,COMERCIAL FERRETERA SARASARA S.A.C.,,,,,,,,,
SOURCE,PRODUCT:0002,0.0,start_product,0002,,,,,,,,,,
PRODUCT:0002,OPTION:0002:MULTI SALUX E I R L,0.0,at_or_above_reference,0002,MULTI SALUX E.I.R.L.,ORTOPEDIA,150.0,150.0,0.0,0.0,1.0,1.0,1.0,2025-06-21
OPTION:0002:MULTI SALUX E I R L,SINK:0002,0.0,finish_product,0002,MULTI SALUX E.I.R.L.,,,,,,,,,
SOURCE,PRODUCT:0003,0.0,start_product,0003,,,,,,,,,,
PRODUCT:0003,OPTION:0003:NEGOCIACIONES MANTARI E I R L,0.0,at_or_above_reference,0003,NEGOCIACIONES MANTARI E.I.R.L.,BOLSA 16*19 C/ASA *100UND,4.5,4.5,0.0,0.0,3.0,300.0,1.0,2025-08-26
OPTION:0003:NEGOCIACIONES MANTARI E I R L,SINK:0003,0.0,finish_product,0003,NEGOCIACIONES MANTARI E.I.R.L.,,,,,,,,,
SOURCE,PRODUCT:0004,0.0,start_product,0004,,,,,,,,,,
PRODUCT:0004,OPTION:0004:NEGOCIACIONES MANTARI E I R L,0.0,at_or_above_reference,0004,NEGOCIACIONES MANTARI E.I.R.L.,BOLSA 12*16 BCO ALFA *100UND,3.0,3.0,0.0,0.0,3.0,300.0,2.0,2025-12-01
OPTION:0004:NEGOCIACIONES MANTARI E I R L,SINK:0004,0.0,finish_product,0004,NEGOCIACIONES MANTARI E.I.R.L.,,,,,,,,,
SOURCE,PRODUCT:0005,0.0,start_product,0005,,,,,,,,,,
PRODUCT:0005,OPTION:0005:GRUPO CARLITOS SOCIEDAD ANONIMA CERRADA GRUPO CARLITOS S A C,0.0,at_or_above_reference,0005,GRUPO CARLITOS SOCIEDAD ANONIMA CERRADA - GRUPO CARLITOS S.A.C.,TEMPLE Y SELLADOR MAJESTAADARTICULOS DE FERRETERIA,76.0,76.0,0.0,0.0,1.0,1.0,1.0,2026-04-28
OPTION:0005:GRUPO CARLITOS SOCIEDAD ANONIMA CERRADA GRUPO CARLITOS S A C,SINK:0005,0.0,finish_product,0005,GRUPO CARLITOS SOCIEDAD ANONIMA CERRADA - GRUPO CARLITOS S.A.C.,,,,,,,,,
SOURCE,PRODUCT:0006,0.0,start_product,0006,,,,,,,,,,
PRODUCT:0006,OPTION:0006:DIMMED S A C,-1.0,historical_saving,0006,DIMMED S.A.C.,MATERIAL MEDICO,4.0,5.0,1.0,0.2,6.0,6.0,1.0,2026-02-18
OPTION:0006:DIMMED S A C,SINK:0006,0.0,finish_product,0006,DIMMED S.A.C.,,,,,,,,,
PRODUCT:0006,OPTION:0006:SANDOVAL SANTISTEBAN JOSE DEL CARMEN,0.0,at_or_above_reference,0006,SANDOVAL SANTISTEBAN JOSE DEL CARMEN,mascarillas MATERIAL MEDICO,5.0,5.0,0.0,0.0,128.0,128.0,1.0,2026-01-28
OPTION:0006:SANDOVAL SANTISTEBAN JOSE DEL CARMEN,SINK:0006,0.0,finish_product,0006,SANDOVAL SANTISTEBAN JOSE DEL CARMEN,,,,,,,,,
PRODUCT:0006,OPTION:0006:MULTI SALUX E I R L,15.0,at_or_above_reference,0006,MULTI SALUX E.I.R.L.,BASTONMATERIAL MEDICO,20.0,5.0,-15.0,-3.0,1.0,1.0,1.0,2026-02-20
OPTION:0006:MULTI SALUX E I R L,SINK:0006,0.0,finish_product,0006,MULTI SALUX E.I.R.L.,,,,,,,,,
SOURCE,PRODUCT:0007,0.0,start_product,0007,,,,,,,,,,
PRODUCT:0007,OPTION:0007:SHALOM EMPRESARIAL S A C,-149.75,historical_saving,0007,SHALOM EMPRESARIAL S.A.C.,"GASTOS ADMINISTRITIVOS, MENAJES Y ONOMASTICOS",1.0,150.75,149.75,0.993367,20.0,20.0,1.0,2025-11-07
OPTION:0007:SHALOM EMPRESARIAL S A C,SINK:0007,0.0,finish_product,0007,SHALOM EMPRESARIAL S.A.C.,,,,,,,,,
PRODUCT:0007,OPTION:0007:INVERSIONES GASTRONOMICAS GAMALMA E I R L,-30.75,historical_saving,0007,INVERSIONES GASTRONOMICAS GAMALMA E.I.R.L.,"GASTOS ADMINISTRITIVOS, MENAJES Y ONOMASTICOS",120.0,150.75,30.75,0.20398,1.0,1.0,1.0,2026-04-26
OPTION:0007:INVERSIONES GASTRONOMICAS GAMALMA E I R L,SINK:0007,0.0,finish_product,0007,INVERSIONES GASTRONOMICAS GAMALMA E.I.R.L.,,,,,,,,,
PRODUCT:0007,OPTION:0007:GRUPO EL TRIDENTE S A C,30.75,at_or_above_reference,0007,GRUPO EL TRIDENTE S.A.C.,"GASTOS ADMINISTRITIVOS, MENAJES Y ONOMASTICOS",181.5,150.75,-30.75,-0.20398,1.0,1.0,1.0,2025-12-31
OPTION:0007:GRUPO EL TRIDENTE S A C,SINK:0007,0.0,finish_product,0007,GRUPO EL TRIDENTE S.A.C.,,,,,,,,,
PRODUCT:0007,OPTION:0007:RINCON CERVECERO S A,82.65,at_or_above_reference,0007,RINCON CERVECERO S.A.,"GASTOS ADMINISTRITIVOS, MENAJES Y ONOMASTICOS",233.4,150.75,-82.65,-0.548259,1.0,1.0,1.0,2026-03-05
OPTION:0007:RINCON CERVECERO S A,SINK:0007,0.0,finish_product,0007,RINCON CERVECERO S.A.,,,,,,,,,
SOURCE,PRODUCT:0008,0.0,start_product,0008,,,,,,,,,,
PRODUCT:0008,OPTION:0008:NEGOCIACIONES MANTARI E I R L,-100.75,historical_saving,0008,NEGOCIACIONES MANTARI E.I.R.L.,BOLSA 16*19 C/ASA*100UND,4.5,105.25,100.75,0.957245,2.0,300.0,2.0,2026-04-21
OPTION:0008:NEGOCIACIONES MANTARI E I R L,SINK:0008,0.0,finish_product,0008,NEGOCIACIONES MANTARI E.I.R.L.,,,,,,,,,
SOURCE,PRODUCT:0009,0.0,start_product,0009,,,,,,,,,,
PRODUCT:0009,OPTION:0009:NEGOCIACIONES MANTARI E I R L,0.0,at_or_above_reference,0009,NEGOCIACIONES MANTARI E.I.R.L.,BOLSA 21*24,10.0,10.0,0.0,0.0,2.0,300.0,1.0,2025-12-01
OPTION:0009:NEGOCIACIONES MANTARI E I R L,SINK:0009,0.0,finish_product,0009,NEGOCIACIONES MANTARI E.I.R.L.,,,,,,,,,
SOURCE,PRODUCT:5000,0.0,start_product,5000,,,,,,,,,,
PRODUCT:5000,OPTION:5000:ENVIPLAST E I R L,0.0,at_or_above_reference,5000,ENVIPLAST E.I.R.L.,FRASCO GOTERO VIDRIO AMBAR 5ML CON TAPA Y CHUPON,0.8,0.8,0.0,0.0,100.0,2050.0,6.0,2025-08-07
OPTION:5000:ENVIPLAST E I R L,SINK:5000,0.0,finish_product,5000,ENVIPLAST E.I.R.L.,,,,,,,,,
PRODUCT:5000,OPTION:5000:ESNA MEDIC INVERSIONES S A C,0.0,at_or_above_reference,5000,ESNA MEDIC INVERSIONES S.A.C.,FRASCO GOTERO VIDRIO AMBAR 5ML CON TAPA Y CHUPON,0.8,0.8,0.0,0.0,500.0,3650.0,2.0,2025-11-06
OPTION:5000:ESNA MEDIC INVERSIONES S A C,SINK:5000,0.0,finish_product,5000,ESNA MEDIC INVERSIONES S.A.C.,,,,,,,,,
PRODUCT:5000,OPTION:5000:COMERCIAL FERRETERA SARASARA S A C,0.0,at_or_above_reference,5000,COMERCIAL FERRETERA SARASARA S.A.C.,FRASCO GOTERO VIDRIO AMBAR 5ML CON TAPA Y CHUPON,0.8,0.8,0.0,0.0,500.0,4424.0,1.0,2025-11-06
OPTION:5000:COMERCIAL FERRETERA SARASARA S A C,SINK:5000,0.0,finish_product,5000,COMERCIAL FERRETERA SARASARA S.A.C.,,,,,,,,,
PRODUCT:5000,OPTION:5000:QUESITO SA,0.32,at_or_above_reference,5000,QUESITO SA,FRASCO GOTERO VIDRIO AMBAR 5ML CON TAPA Y CHUPONFRASCO GOTERO VIDRIO AMBAR 5ML CON TAPA Y CHUPON,1.12,0.8,-0.32,-0.4,50.0,850.0,1.0,2025-03-12
OPTION:5000:QUESITO SA,SINK:5000,0.0,finish_product,5000,QUESITO SA,,,,,,,,,
SOURCE,PRODUCT:5001,0.0,start_product,5001,,,,,,,,,,
PRODUCT:5001,OPTION:5001:ENVIPLAST E I R L,0.0,at_or_above_reference,5001,ENVIPLAST E.I.R.L.,FRASCO GOTERO VIDRIO AMBAR 10ML CON TAPA Y CHUPON,0.85,0.85,0.0,0.0,100.0,2050.0,5.0,2025-07-24
OPTION:5001:ENVIPLAST E I R L,SINK:5001,0.0,finish_product,5001,ENVIPLAST E.I.R.L.,,,,,,,,,
PRODUCT:5001,OPTION:5001:ESNA MEDIC INVERSIONES S A C,0.0,at_or_above_reference,5001,ESNA MEDIC INVERSIONES S.A.C.,FRASCO GOTERO VIDRIO AMBAR 10ML CON TAPA Y CHUPON,0.85,0.85,0.0,0.0,1000.0,3650.0,3.0,2025-11-19
OPTION:5001:ESNA MEDIC INVERSIONES S A C,SINK:5001,0.0,finish_product,5001,ESNA MEDIC INVERSIONES S.A.C.,,,,,,,,,
PRODUCT:5001,OPTION:5001:COMERCIAL FERRETERA SARASARA S A C,0.0,at_or_above_reference,5001,COMERCIAL FERRETERA SARASARA S.A.C.,FRASCO GOTERO VIDRIO AMBAR 10ML CON TAPA Y CHUPON,0.85,0.85,0.0,0.0,2000.0,4424.0,1.0,2025-11-19
OPTION:5001:COMERCIAL FERRETERA SARASARA S A C,SINK:5001,0.0,finish_product,5001,COMERCIAL FERRETERA SARASARA S.A.C.,,,,,,,,,
PRODUCT:5001,OPTION:5001:QUESITO SA,0.34,at_or_above_reference,5001,QUESITO SA,FRASCO GOTERO VIDRIO AMBAR 10ML CON TAPA Y CHUPONFRASCO GOTERO VIDRIO AMBAR 10ML CON TAPA Y CHUPON,1.19,0.85,-0.34,-0.4,50.0,850.0,1.0,2025-03-12
OPTION:5001:QUESITO SA,SINK:5001,0.0,finish_product,5001,QUESITO SA,,,,,,,,,
SOURCE,PRODUCT:5002,0.0,start_product,5002,,,,,,,,,,
PRODUCT:5002,OPTION:5002:ENVIPLAST E I R L,0.0,at_or_above_reference,5002,ENVIPLAST E.I.R.L.,FRASCO GOTERO VIDRIO AMBAR 15ML CON TAPA Y CHUPON,0.9,0.9,0.0,0.0,100.0,2050.0,4.0,2025-07-07
OPTION:5002:ENVIPLAST E I R L,SINK:5002,0.0,finish_product,5002,ENVIPLAST E.I.R.L.,,,,,,,,,
PRODUCT:5002,OPTION:5002:COMERCIAL FERRETERA SARASARA S A C,0.0,at_or_above_reference,5002,COMERCIAL FERRETERA SARASARA S.A.C.,FRASCO GOTERO VIDRIO AMBAR 15ML CON TAPA Y CHUPON,0.9,0.9,0.0,0.0,156.0,4424.0,2.0,2026-01-01
OPTION:5002:COMERCIAL FERRETERA SARASARA S A C,SINK:5002,0.0,finish_product,5002,COMERCIAL FERRETERA SARASARA S.A.C.,,,,,,,,,
PRODUCT:5002,OPTION:5002:ESNA MEDIC INVERSIONES S A C,0.0,at_or_above_reference,5002,ESNA MEDIC INVERSIONES S.A.C.,FRASCO GOTERO VIDRIO AMBAR 15ML CON TAPA Y CHUPON,0.9,0.9,0.0,0.0,200.0,3650.0,1.0,2025-09-15
OPTION:5002:ESNA MEDIC INVERSIONES S A C,SINK:5002,0.0,finish_product,5002,ESNA MEDIC INVERSIONES S.A.C.,,,,,,,,,
PRODUCT:5002,OPTION:5002:QUESITO SA,0.36,at_or_above_reference,5002,QUESITO SA,FRASCO GOTERO VIDRIO AMBAR 15ML CON TAPA Y CHUPONFRASCO GOTERO VIDRIO AMBAR 15ML CON TAPA Y CHUPON,1.26,0.9,-0.36,-0.4,50.0,850.0,1.0,2025-03-12
OPTION:5002:QUESITO SA,SINK:5002,0.0,finish_product,5002,QUESITO SA,,,,,,,,,
SOURCE,PRODUCT:5003,0.0,start_product,5003,,,,,,,,,,
PRODUCT:5003,OPTION:5003:ENVIPLAST E I R L,-9e-06,historical_saving,5003,ENVIPLAST E.I.R.L.,FRASCO GOTERO VIDRIO AMBAR 20ML CON TAPA Y CHUPON,0.999991,1.0,9e-06,9e-06,80.0,2050.0,7.0,2025-08-20
OPTION:5003:ENVIPLAST E I R L,SINK:5003,0.0,finish_product,5003,ENVIPLAST E.I.R.L.,,,,,,,,,
PRODUCT:5003,OPTION:5003:COMERCIAL FERRETERA SARASARA S A C,0.0,at_or_above_reference,5003,COMERCIAL FERRETERA SARASARA S.A.C.,FRASCO GOTERO VIDRIO AMBAR 20ML CON TAPA Y CHUPON,1.0,1.0,0.0,0.0,25.0,4424.0,1.0,2025-12-03
OPTION:5003:COMERCIAL FERRETERA SARASARA S A C,SINK:5003,0.0,finish_product,5003,COMERCIAL FERRETERA SARASARA S.A.C.,,,,,,,,,
PRODUCT:5003,OPTION:5003:ESNA MEDIC INVERSIONES S A C,0.0,at_or_above_reference,5003,ESNA MEDIC INVERSIONES S.A.C.,FRASCO GOTERO VIDRIO AMBAR 20ML CON TAPA Y CHUPON,1.0,1.0,0.0,0.0,200.0,3650.0,1.0,2025-09-15
OPTION:5003:ESNA MEDIC INVERSIONES S A C,SINK:5003,0.0,finish_product,5003,ESNA MEDIC INVERSIONES S.A.C.,,,,,,,,,
PRODUCT:5003,OPTION:5003:VARIOS,0.0,at_or_above_reference,5003,VARIOS,FRASCO GOTERO VIDRIO AMBAR 20ML CON TAPA Y CHUPON,1.0,1.0,0.0,0.0,100.0,100.0,1.0,2025-08-26
OPTION:5003:VARIOS,SINK:5003,0.0,finish_product,5003,VARIOS,,,,,,,,,
PRODUCT:5003,OPTION:5003:QUESITO SA,0.4,at_or_above_reference,5003,QUESITO SA,FRASCO GOTERO VIDRIO AMBAR 20ML CON TAPA Y CHUPONFRASCO GOTERO VIDRIO AMBAR 20ML CON TAPA Y CHUPON,1.4,1.0,-0.4,-0.4,50.0,850.0,1.0,2025-03-12
OPTION:5003:QUESITO SA,SINK:5003,0.0,finish_product,5003,QUESITO SA,,,,,,,,,
SOURCE,PRODUCT:5004,0.0,start_product,5004,,,,,,,,,,
PRODUCT:5004,OPTION:5004:CORPORACION PROMELAB E I R L,-0.199999,historical_saving,5004,CORPORACION PROMELAB E.I.R.L.,FRASCO GOTERO VIDRIO AMBAR 30ML CON TAPA Y CHUPON,1.0,1.199999,0.199999,0.166666,110.0,1250.0,9.0,2026-01-26
