node_id,node_type,label,score
PRODUCT:5168,PRODUCT,POTE CREMERO VIDRIO AMBAR 100GR C/TAPA NEGRA Y LAINA,0.007069
PRODUCT:5206,PRODUCT,LATA DE ALUMINIO PLATEADA 50GR C/TAPA,0.002752
PRODUCT:5004,PRODUCT,FRASCO GOTERO VIDRIO AMBAR 30ML CON TAPA Y CHUPONFRASCO GOTERO VIDRIO AMBAR 30ML CON TAPA Y CHUPON,0.002497
PRODUCT:5006,PRODUCT,FRASCO GOTERO VIDRIO AMBAR 100ML CON TAPA Y CHUPONFRASCO GOTERO VIDRIO AMBAR 100ML CON TAPA Y CHUPON,0.002463
PRODUCT:5498,PRODUCT,FRASCO PET AMBAR 120ML C/TAPA Y TAPON N28,0.002
PRODUCT:5001,PRODUCT,FRASCO GOTERO VIDRIO AMBAR 10ML CON TAPA Y CHUPONFRASCO GOTERO VIDRIO AMBAR 10ML CON TAPA Y CHUPON,0.001687
PRODUCT:5122,PRODUCT,POTE ACRILICO 10GR C/TAPA ROSCA,0.001383
PRODUCT:6,PRODUCT,MATERIAL MEDICO,0.001235
PRODUCT:5018,PRODUCT,FRASCO PET TRANSPARENTE 30ML CON TAPA SPRAY N20FRASCO BULLET 30ML CON TAPA ATOMIZADOR,0.001116
PRODUCT:5020,PRODUCT,FRASCO ESMALTE 5ML VIDRIO TRANSPARENTE CON BROCHA Y TAPAFRASCO ESMALTE 5ML VIDRIO TRANSPARENTE CON BROCHA Y TAPA,0.001095
