source,target,relation,weight,quantity,unit_value,date
DOCP:ENVIPLAST E I R L|2025-03-11,PRODUCT:5041,CONTAINS,21.25,25.0,0.85,2025-03-11
DOCP:ENVIPLAST E I R L|2025-03-11,SUPPLIER:ENVIPLAST E I R L,ISSUED_BY,1.0,0.0,0.0,2025-03-11
DOCP:ENVIPLAST E I R L|2025-03-11,DATE:2025-03-11,ON_DATE,1.0,0.0,0.0,2025-03-11
DOCP:QUESITO SA|2025-03-12,PRODUCT:5002,CONTAINS,59.0,50.0,1.26,2025-03-12
DOCP:QUESITO SA|2025-03-12,SUPPLIER:QUESITO SA,ISSUED_BY,1.0,0.0,0.0,2025-03-12
DOCP:QUESITO SA|2025-03-12,DATE:2025-03-12,ON_DATE,1.0,0.0,0.0,2025-03-12
DOCP:ENVIPLAST E I R L|2025-03-12,PRODUCT:5056,CONTAINS,43.75,25.0,1.749999,2025-03-12
DOCP:ENVIPLAST E I R L|2025-03-12,SUPPLIER:ENVIPLAST E I R L,ISSUED_BY,1.0,0.0,0.0,2025-03-12
DOCP:ENVIPLAST E I R L|2025-03-12,DATE:2025-03-12,ON_DATE,1.0,0.0,0.0,2025-03-12
DOCP:QUESITO SA|2025-03-12,PRODUCT:5005,CONTAINS,59.0,50.0,1.96,2025-03-12
DOCP:QUESITO SA|2025-03-12,PRODUCT:5000,CONTAINS,59.0,50.0,1.12,2025-03-12
DOCP:QUESITO SA|2025-03-12,PRODUCT:5006,CONTAINS,59.0,50.0,2.24,2025-03-12
DOCP:QUESITO SA|2025-03-12,PRODUCT:5007,CONTAINS,25.96,22.0,1.4,2025-03-12
DOCP:QUESITO SA|2025-03-12,PRODUCT:5008,CONTAINS,25.96,22.0,2.8,2025-03-12
DOCP:QUESITO SA|2025-03-12,PRODUCT:5001,CONTAINS,59.0,50.0,1.19,2025-03-12
DOCP:QUESITO SA|2025-03-12,PRODUCT:5009,CONTAINS,28.32,24.0,0.91,2025-03-12
DOCP:QUESITO SA|2025-03-12,PRODUCT:5010,CONTAINS,29.5,25.0,0.98,2025-03-12
DOCP:QUESITO SA|2025-03-12,PRODUCT:5011,CONTAINS,29.5,25.0,1.12,2025-03-12
DOCP:QUESITO SA|2025-03-12,PRODUCT:5012,CONTAINS,29.5,25.0,1.26,2025-03-12
DOCP:QUESITO SA|2025-03-12,PRODUCT:5013,CONTAINS,29.5,25.0,2.8,2025-03-12
DOCP:QUESITO SA|2025-03-12,PRODUCT:5014,CONTAINS,29.5,25.0,0.504,2025-03-12
DOCP:QUESITO SA|2025-03-12,PRODUCT:5015,CONTAINS,29.5,25.0,0.7714,2025-03-12
DOCP:QUESITO SA|2025-03-12,PRODUCT:5016,CONTAINS,27.14,23.0,3.78,2025-03-12
DOCP:QUESITO SA|2025-03-12,PRODUCT:5017,CONTAINS,29.5,25.0,0.91,2025-03-12
DOCP:QUESITO SA|2025-03-12,PRODUCT:5018,CONTAINS,29.5,25.0,1.12,2025-03-12
DOCP:QUESITO SA|2025-03-12,PRODUCT:5019,CONTAINS,22.42,19.0,1.54,2025-03-12
DOCP:QUESITO SA|2025-03-12,PRODUCT:5020,CONTAINS,17.7,15.0,0.84,2025-03-12
DOCP:QUESITO SA|2025-03-12,PRODUCT:5021,CONTAINS,29.5,25.0,4.06,2025-03-12
DOCP:QUESITO SA|2025-03-12,PRODUCT:5022,CONTAINS,1.18,1.0,4.2,2025-03-12
DOCP:QUESITO SA|2025-03-12,PRODUCT:5023,CONTAINS,1.18,1.0,4.34,2025-03-12
DOCP:QUESITO SA|2025-03-12,PRODUCT:5024,CONTAINS,1.18,1.0,4.2,2025-03-12
DOCP:QUESITO SA|2025-03-12,PRODUCT:5025,CONTAINS,1.18,1.0,1.12,2025-03-12
DOCP:QUESITO SA|2025-03-12,PRODUCT:5003,CONTAINS,59.0,50.0,1.4,2025-03-12
DOCP:QUESITO SA|2025-03-12,PRODUCT:5026,CONTAINS,1.18,1.0,1.26,2025-03-12
DOCP:QUESITO SA|2025-03-12,PRODUCT:5027,CONTAINS,1.18,1.0,1.26,2025-03-12
DOCP:QUESITO SA|2025-03-12,PRODUCT:5028,CONTAINS,1.18,1.0,1.4,2025-03-12
DOCP:QUESITO SA|2025-03-12,PRODUCT:5029,CONTAINS,1.18,1.0,1.12,2025-03-12
DOCP:QUESITO SA|2025-03-12,PRODUCT:5030,CONTAINS,1.18,1.0,1.26,2025-03-12
DOCP:QUESITO SA|2025-03-12,PRODUCT:5031,CONTAINS,1.18,1.0,1.26,2025-03-12
DOCP:QUESITO SA|2025-03-12,PRODUCT:5032,CONTAINS,1.18,1.0,1.4,2025-03-12
DOCP:QUESITO SA|2025-03-12,PRODUCT:5033,CONTAINS,1.18,1.0,0.84,2025-03-12
DOCP:QUESITO SA|2025-03-12,PRODUCT:5034,CONTAINS,1.18,1.0,0.84,2025-03-12
DOCP:QUESITO SA|2025-03-12,PRODUCT:5035,CONTAINS,1.18,1.0,0.84,2025-03-12
DOCP:QUESITO SA|2025-03-12,PRODUCT:5036,CONTAINS,1.18,1.0,1.4,2025-03-12
DOCP:QUESITO SA|2025-03-12,PRODUCT:5037,CONTAINS,1.18,1.0,1.82,2025-03-12
DOCP:QUESITO SA|2025-03-12,PRODUCT:5038,CONTAINS,1.18,1.0,0.84,2025-03-12
DOCP:QUESITO SA|2025-03-12,PRODUCT:5039,CONTAINS,1.18,1.0,0.84,2025-03-12
DOCP:QUESITO SA|2025-03-12,PRODUCT:5040,CONTAINS,1.18,1.0,1.26,2025-03-12
DOCP:QUESITO SA|2025-03-12,PRODUCT:5041,CONTAINS,1.18,1.0,1.4,2025-03-12
DOCP:QUESITO SA|2025-03-12,PRODUCT:5042,CONTAINS,1.18,1.0,1.82,2025-03-12
DOCP:QUESITO SA|2025-03-12,PRODUCT:5043,CONTAINS,1.18,1.0,0.84,2025-03-12
DOCP:QUESITO SA|2025-03-12,PRODUCT:5044,CONTAINS,1.18,1.0,0.84,2025-03-12
DOCP:QUESITO SA|2025-03-12,PRODUCT:5045,CONTAINS,1.18,1.0,0.84,2025-03-12
DOCP:QUESITO SA|2025-03-12,PRODUCT:5046,CONTAINS,1.18,1.0,1.26,2025-03-12
DOCP:QUESITO SA|2025-03-12,PRODUCT:5047,CONTAINS,1.18,1.0,1.4,2025-03-12
